subfamily	family	orientation	n_copies	n_copies_total	median_log2fc	bg_median_log2fc	delta_vs_bg	frac_positive	median_input_dens	p	q
L1MEg2	L1	sense	98	761	0.0581873	-0.330097	0.388284	0.510204	0.583103	0.187153	0.214593
SVA_F	SVA	antisense	192	995	-1.37367	-1.75928	0.385604	0.1875	0.395887	4.71364e-07	8.98537e-07
L1M3e	L1	sense	89	779	0.0398575	-0.330097	0.369954	0.505618	0.808813	0.0152342	0.0202901
AluYa5	Alu	sense	1163	3858	0.0384158	-0.330097	0.368513	0.508169	0.322283	1.26836e-06	2.31647e-06
AluYb8	Alu	sense	727	2823	0.0373032	-0.330097	0.3674	0.500688	0.350109	0.000584487	0.000865381
L1MC1	L1	sense	1772	13054	0.0262489	-0.330097	0.356346	0.509029	0.739895	1.18008e-09	2.57089e-09
L1PA4	L1	antisense	1600	11763	-1.40579	-1.75928	0.353485	0.153125	0.632119	4.54916e-28	1.71296e-27
L1M2b	L1	sense	26	240	0.0114957	-0.330097	0.341592	0.5	1.88511	0.895903	0.907809
L1MB3	L1	sense	2839	17156	-0.0111682	-0.330097	0.318928	0.499119	0.921027	2.25204e-09	4.83712e-09
AluYk12	Alu	antisense	42	220	-1.45422	-1.75928	0.305054	0.261905	1.06625	0.145907	0.170504
L1MB7	L1	sense	4104	22924	-0.0284452	-0.330097	0.301652	0.493421	1.13216	6.03168e-11	1.35269e-10
AluYf5	Alu	antisense	58	180	-1.45901	-1.75928	0.300268	0.206897	0.797974	0.011134	0.0151601
AluSq4	Alu	antisense	437	1398	-1.47282	-1.75928	0.286457	0.171625	1.98118	3.65446e-06	6.36921e-06
L1MB5	L1	sense	1471	9758	-0.0436918	-0.330097	0.286405	0.490823	0.823058	0.016299	0.0216139
L1MB8	L1	sense	2941	16461	-0.0698533	-0.330097	0.260243	0.485889	1.19638	4.48411e-05	7.04976e-05
L1M4	L1	sense	2918	17916	-0.0717963	-0.330097	0.2583	0.485607	1.14911	2.29107e-05	3.7169e-05
L1MEa	L1	sense	44	369	-0.0731691	-0.330097	0.256928	0.477273	0.885356	0.436413	0.465405
L1MB2	L1	sense	1418	8901	-0.0762851	-0.330097	0.253812	0.487306	0.930789	0.00515965	0.00721877
L1MB1	L1	sense	716	6141	-0.0820142	-0.330097	0.248082	0.48743	0.676954	0.11046	0.132638
AluSg7	Alu	sense	3422	8222	-0.0872433	-0.330097	0.242853	0.481005	0.67791	2.47524e-05	3.99443e-05
L1MB4	L1	sense	1487	9161	-0.0893911	-0.330097	0.240706	0.486886	0.987879	0.00540757	0.00753109
AluSg4	Alu	antisense	2334	7364	-1.5216	-1.75928	0.237677	0.171808	1.56237	6.46989e-30	2.63109e-29
L1MA6	L1	sense	613	5410	-0.101908	-0.330097	0.228188	0.482871	0.847578	0.0997806	0.120766
L1PA5	L1	antisense	1839	11171	-1.54084	-1.75928	0.218437	0.138119	0.900522	9.19389e-17	2.48154e-16
AluYf4	Alu	sense	447	1350	-0.121409	-0.330097	0.208687	0.474273	0.563353	0.419228	0.451819
AluY	Alu	sense	40039	118506	-0.127196	-0.330097	0.2029	0.476236	0.488645	2.3083e-55	1.95564e-54
