subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1P4a	antisense	L1	6	201.2129	60.5204	235.2307	0.9491	3.7470	2.3481	yes
L1PA4	antisense	L1	445	2062.3722	423.9302	4022.4181	2.7076	1.9641	2.3359	yes
L1MB1	antisense	L1	137	820.6658	168.3474	1050.8997	2.0414	2.6200	2.3307	yes
L1PA10	sense	L1	171	1719.8516	377.8483	2573.0737	2.9521	1.7082	2.3301	yes
L1M4a1	antisense	L1	83	240.5049	58.8271	473.5976	3.4309	1.2265	2.3287	yes
L1MC2	antisense	L1	188	1953.1251	403.2022	2378.3075	2.0500	2.5349	2.2924	yes
L1PA6	antisense	L1	190	1608.5419	344.3751	4184.6456	1.8880	2.6810	2.2845	yes
L1MA2	antisense	L1	195	1674.3904	352.2066	2121.3597	2.0830	2.4426	2.2628	yes
L1M6	sense	L1	164	832.2811	183.0883	764.8690	2.8104	1.7070	2.2587	yes
L1PA5	antisense	L1	385	2559.5336	540.8283	6151.2229	2.0362	2.4777	2.2570	yes
L1MA1	antisense	L1	88	1370.9878	291.8375	750.6454	2.4612	2.0310	2.2461	yes
L1P2	sense	L1	52	2772.1908	587.2127	556.2109	2.1695	2.3061	2.2378	yes
L1PREC2	antisense	L1	224	1582.4281	348.5177	3048.2117	2.1514	2.2069	2.1791	yes
L1MD	antisense	L1	205	634.6271	142.5397	669.5071	2.3437	1.9769	2.1603	yes
L1M4c	antisense	L1	74	455.3455	105.9826	527.2112	2.5180	1.7783	2.1481	yes
L1MA5A	antisense	L1	92	716.8534	162.6627	579.1148	2.0419	2.2341	2.1380	yes
L1PA13	antisense	L1	185	746.0909	179.8679	1643.7977	1.7224	2.5236	2.1230	yes
AluYe6	antisense	Alu	5	3.5332	0.0000	6.2162	1.7056	2.5372	2.1214	yes
L1PA11	antisense	L1	129	430.3248	111.8184	838.3383	2.7846	1.4057	2.0952	yes
L1PBa	antisense	L1	38	91.5326	30.8725	159.0595	3.3242	0.8335	2.0788	yes
L1MEh	sense	L1	73	433.3490	105.9826	309.1295	2.5669	1.5821	2.0745	yes
L1PA17	antisense	L1	154	918.5271	222.2609	2227.7784	1.7847	2.3636	2.0741	yes
L1MEh	antisense	L1	79	290.2879	68.3519	431.0760	2.1207	2.0172	2.0689	yes
L1ME3F	antisense	L1	97	362.7583	88.6262	269.8104	2.4519	1.6557	2.0538	yes
L1MCc	antisense	L1	75	329.7319	90.6219	807.4367	2.6673	1.4122	2.0397	yes
L1MA6	antisense	L1	132	639.0254	162.8140	1025.7698	2.3684	1.6521	2.0103	yes
L1ME3C	antisense	L1	107	349.4606	86.6305	371.1233	1.9848	2.0166	2.0007	yes
L1P4d	sense	L1	4	3.0650	0.0000	111.7142	2.3423	1.6131	1.9777	yes
L1P4c	antisense	L1	2	3.4240	0.0000	10.8238	1.2369	2.6985	1.9677	yes
L1MA4A	antisense	L1	188	1063.3660	280.9368	2671.7283	1.6592	2.2508	1.9550	yes
L1MD2	antisense	L1	255	1222.3086	317.7964	1469.3692	2.1140	1.7822	1.9481	yes
L1PA10	antisense	L1	165	625.4694	163.7362	1208.5929	2.1997	1.6888	1.9442	yes
L1P4c	sense	L1	2	2.8468	0.0000	3.8496	1.7056	2.1479	1.9268	yes
L1MD1	sense	L1	181	1915.8236	520.0855	1412.5135	2.1525	1.6339	1.8932	yes
L1MC4	sense	L1	834	6289.9084	1701.5715	3298.8102	2.0192	1.7632	1.8912	yes
