subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1MA6	sense	L1	3224	2534	2996	3269	69	40
L1MA7	antisense	L1	5294	4770	1886	2298	147	68
L1MA7	sense	L1	4656	3690	3070	3794	54	30
L1MA8	antisense	L1	6981	6149	2498	3170	63	40
L1MA8	sense	L1	5146	3785	5337	6716	47	31
L1MA9	antisense	L1	9740	8250	5218	6156	47	14
L1MA9	sense	L1	7392	5849	11140	13586	42	54
L1MB1	antisense	L1	4178	4209	1964	2194	28	9
L1MB1	sense	L1	4899	3805	3950	4954	22	9
L1MB2	antisense	L1	7723	6894	3790	4180	1763	853
L1MB2	sense	L1	5050	3807	4430	5573	184	75
L1MB3	antisense	L1	14214	11376	4823	5781	190	85
L1MB3	sense	L1	13393	10105	10891	13963	334	181
L1MB4	antisense	L1	8527	6804	2417	3238	165	66
L1MB4	sense	L1	4175	3208	3656	4900	79	78
L1MB5	antisense	L1	8435	6732	2321	3091	90	55
L1MB5	sense	L1	6528	4638	3638	4747	174	119
L1MB7	antisense	L1	22165	17662	7991	9838	251	144
L1MB7	sense	L1	16164	11414	11218	14774	244	208
L1MB8	antisense	L1	17372	14236	7147	8679	261	159
L1MB8	sense	L1	18056	14369	14906	19024	202	153
L1MC	antisense	L1	3185	2982	1960	2463	30	26
L1MC	sense	L1	1995	1810	3130	3852	29	21
L1MC1	antisense	L1	18149	16377	6798	8238	109	64
L1MC1	sense	L1	11488	9041	11062	14250	89	56
L1MC2	antisense	L1	9918	9151	4296	5720	61	25
L1MC2	sense	L1	1121	863	1439	1677	33	20
L1MC3	antisense	L1	13623	11585	4897	6182	103	51
L1MC3	sense	L1	5954	4193	4688	5696	102	69
L1MC4	antisense	L1	25704	21508	12392	15902	247	153
L1MC4	sense	L1	15175	11545	13910	18322	202	137
L1MC4a	antisense	L1	7737	6722	3336	4026	238	126
L1MC4a	sense	L1	5632	4485	5673	7005	112	82
L1MC5	antisense	L1	11860	9936	6300	7378	1037	524
L1MC5	sense	L1	6052	4769	4624	6107	127	88
L1MC5a	antisense	L1	13491	11306	6379	8167	286	190
L1MC5a	sense	L1	9103	8108	8849	11566	147	134
L1MCa	antisense	L1	8527	7617	2476	3279	51	27
L1MCa	sense	L1	5756	4568	8454	10466	45	30
L1MCb	antisense	L1	1972	1640	563	654	2	6
L1MCb	sense	L1	2054	1536	865	977	0	1
L1MCc	antisense	L1	3939	2644	659	1053	6	10
L1MCc	sense	L1	1704	1057	1266	1481	12	29
L1MD	antisense	L1	2645	2695	1388	1869	16	12
L1MD	sense	L1	5798	4522	5113	6456	100	45
L1MD1	antisense	L1	5210	4851	1718	2111	46	20
L1MD1	sense	L1	6266	5131	4386	5384	58	44
L1MD2	antisense	L1	6745	5154	2727	3529	37	26
L1MD2	sense	L1	6241	4544	5011	6507	118	72
L1MD3	antisense	L1	5147	4180	2145	2876	54	28
L1MD3	sense	L1	3977	2907	3752	4908	92	55
L1MDa	antisense	L1	7366	6397	3970	4541	35	17
L1MDa	sense	L1	13435	10259	9841	12907	81	55
L1MDb	antisense	L1	634	386	259	298	135	80
L1MDb	sense	L1	5280	4016	3139	3790	1068	521
L1ME1	antisense	L1	18060	16588	7777	9940	187	110
L1ME1	sense	L1	19527	15757	17860	22580	277	171
L1ME2	antisense	L1	7661	6452	3843	4598	248	145
L1ME2	sense	L1	8283	6517	4974	6536	90	70
L1ME2z	antisense	L1	5278	4183	1744	2218	56	26
L1ME2z	sense	L1	2200	1903	2222	2795	81	36
L1ME3	antisense	L1	4772	4227	2556	3213	96	53
L1ME3	sense	L1	5492	4063	3761	5314	125	54
L1ME3A	antisense	L1	11612	9356	4218	5484	110	55
L1ME3A	sense	L1	7532	5694	4773	6410	331	148
L1ME3B	antisense	L1	5608	4820	1751	2131	130	62
L1ME3B	sense	L1	3555	2881	3176	4169	75	51
L1ME3C	antisense	L1	1644	1350	813	965	12	6
L1ME3C	sense	L1	2332	1989	1307	1622	32	26
L1ME3Cz	antisense	L1	3937	3657	2264	2737	115	51
L1ME3Cz	sense	L1	6767	5996	8763	10803	241	217
L1ME3D	antisense	L1	4154	3434	3729	3710	320	189
L1ME3D	sense	L1	1922	1462	1915	2293	91	78
L1ME3E	antisense	L1	1892	1706	860	965	51	41
L1ME3E	sense	L1	1541	1183	1206	1727	47	29
L1ME3F	antisense	L1	1155	1014	846	999	9	8
L1ME3F	sense	L1	1271	1069	1290	1626	15	7
L1ME3G	antisense	L1	6912	6148	2859	3754	108	72
L1ME3G	sense	L1	5164	4479	4342	5767	103	77
L1ME4a	antisense	L1	11854	10571	9034	11554	393	274
L1ME4a	sense	L1	9959	9255	10046	12495	337	195
L1ME4b	antisense	L1	12367	10628	6573	8106	187	128
L1ME4b	sense	L1	11424	8984	9165	11592	194	136
L1ME4c	antisense	L1	4041	3819	2943	3832	86	37
L1ME4c	sense	L1	3853	3557	3383	4106	75	41
L1ME5	antisense	L1	4033	3302	1319	1587	60	53
L1ME5	sense	L1	1874	1180	1789	2296	30	24
L1MEa	antisense	L1	53	43	3	4	1	0
L1MEa	sense	L1	13	26	5	6	0	0
L1MEb	antisense	L1	411	413	190	287	0	6
L1MEb	sense	L1	2042	1444	907	1265	3	4
L1MEc	antisense	L1	11352	10086	4161	5185	66	36
L1MEc	sense	L1	22935	18032	32682	40202	150	153
L1MEd	antisense	L1	10060	9532	3431	4260	63	45
L1MEd	sense	L1	10977	8738	11937	15597	234	151
L1MEf	antisense	L1	5762	5077	2123	2489	169	68
L1MEf	sense	L1	15843	12377	19572	22844	42	40
L1MEg	antisense	L1	6063	5316	1920	2700	90	49
L1MEg	sense	L1	8821	7257	11126	13927	81	69
L1MEg1	antisense	L1	75	65	13	15	0	0
L1MEg1	sense	L1	417	268	307	422	0	0
L1MEg2	antisense	L1	21	39	1	0	0	0
L1MEg2	sense	L1	2	7	1	1	0	0
L1MEh	antisense	L1	1796	1660	672	806	9	5
L1MEh	sense	L1	1412	1090	1017	1185	10	10
L1MEi	antisense	L1	2204	1829	725	895	4	6
L1MEi	sense	L1	3866	3256	6060	7548	30	7
L1MEj	antisense	L1	728	548	265	330	1	1
L1MEj	sense	L1	679	629	876	1104	2	4
L1P	antisense	L1	18	10	1	2	0	0
L1P	sense	NA	0	0	0	0	0	0
L1P1	antisense	L1	2321	2065	724	882	8	11
L1P1	sense	L1	7673	5556	5071	7015	4	9
L1P2	antisense	L1	5453	4405	1248	1652	20	22
L1P2	sense	L1	2636	1884	6042	8192	79	42
L1P3	antisense	L1	1296	1236	619	767	16	11
L1P3	sense	L1	3193	2367	10907	14559	108	69
L1P3b	antisense	L1	112	92	16	30	0	0
L1P3b	sense	L1	39	31	16	22	0	2
L1P4	antisense	L1	1618	1502	448	633	11	0
L1P4	sense	L1	2914	2600	5612	6668	19	14
L1P4a	antisense	L1	1117	795	461	565	14	1
L1P4a	sense	L1	184	121	534	725	4	2
L1P4b	antisense	L1	40	17	3	13	0	0
L1P4b	sense	L1	65	46	16	65	3	0
L1P4c	antisense	L1	62	28	3	16	0	0
L1P4c	sense	L1	22	10	5	10	0	0
L1P4d	antisense	L1	22	15	10	3	2	0
L1P4d	sense	L1	567	348	9	6	0	0
L1P4e	antisense	L1	2	2	6	4	0	0
L1P4e	sense	L1	551	371	291	366	0	0
L1P5	antisense	L1	107	109	40	50	1	0
L1P5	sense	L1	219	170	140	198	2	0
L1PA10	antisense	L1	5358	4393	1412	1784	18	14
L1PA10	sense	L1	12431	8524	3694	5154	28	40
L1PA11	antisense	L1	3571	3165	949	1257	8	12
L1PA11	sense	L1	5276	3702	4241	5551	25	9
L1PA12	antisense	L1	2034	1328	342	468	16	10
L1PA12	sense	L1	9762	6735	1669	2339	73	23
L1PA13	antisense	L1	7113	6116	1742	2052	31	9
L1PA13	sense	L1	15057	10747	9520	11383	16	33
L1PA14	antisense	L1	7868	7333	2219	2731	8	10
L1PA14	sense	L1	3832	2523	7532	9169	7	7
L1PA15	antisense	L1	9915	8415	2777	3307	19	20
L1PA15	sense	L1	12281	9020	7865	9511	55	42
L1PA15-16	antisense	L1	267	298	59	84	0	0
L1PA15-16	sense	L1	2358	1651	247	311	0	0
L1PA16	antisense	L1	10708	9380	3398	4125	83	35
L1PA16	sense	L1	11878	9055	8463	11256	57	41
L1PA17	antisense	L1	9573	8343	2053	2647	35	13
L1PA17	sense	L1	5156	4023	6175	8448	18	14
L1PA2	antisense	L1	15245	12700	5936	7934	330	171
L1PA2	sense	L1	10232	7928	13735	21351	156	84
L1PA3	antisense	L1	23246	20095	6131	8299	271	176
L1PA3	sense	L1	7818	5680	13171	18263	130	82
L1PA4	antisense	L1	17512	14880	4449	6155	40	40
L1PA4	sense	L1	19709	15386	19904	29107	38	50
L1PA5	antisense	L1	26822	22721	5648	7472	81	34
L1PA5	sense	L1	21779	16803	20426	30105	88	41
L1PA6	antisense	L1	18363	15363	3651	4562	58	18
L1PA6	sense	L1	6208	4760	4149	5631	12	15
L1PA7	antisense	L1	21760	19030	7456	9659	261	144
L1PA7	sense	L1	34576	26869	33740	45611	121	68
L1PA8	antisense	L1	4247	3630	1425	1940	23	26
L1PA8	sense	L1	5530	4017	2986	3676	15	19
L1PA8A	antisense	L1	6784	5474	2097	2777	4	13
L1PA8A	sense	L1	11873	8447	15441	19933	18	26
L1PB	antisense	L1	754	740	423	505	34	9
L1PB	sense	L1	1792	1338	1548	1997	13	10
L1PB1	antisense	L1	29859	26933	7552	9768	83	41
L1PB1	sense	L1	23144	18162	10476	12238	55	23
L1PB2	antisense	L1	3528	3033	684	727	22	8
L1PB2	sense	L1	2851	2184	2000	2703	6	10
L1PB3	antisense	L1	2497	2078	376	587	8	0
L1PB3	sense	L1	3553	2727	2750	3803	11	17
L1PB4	antisense	L1	4932	4091	2227	2666	34	19
L1PB4	sense	L1	6820	5056	8709	10396	23	29
L1PBa	antisense	L1	756	537	190	283	1	4
L1PBa	sense	L1	11616	8929	3347	4809	9	8
L1PBa1	antisense	L1	2634	2232	1028	1276	118	62
L1PBa1	sense	L1	1991	1186	882	1082	74	30
L1PBb	antisense	L1	1303	964	89	105	2	0
L1PBb	sense	L1	14	4	5	8	0	0
L1PREC2	antisense	L1	13088	11424	3402	4738	45	26
L1PREC2	sense	L1	9628	7034	4510	6087	37	33
SVA_A	antisense	SVA	1992	1226	406	640	10	9
SVA_A	sense	SVA	798	517	163	289	22	11
SVA_B	antisense	SVA	2872	1581	749	1420	21	14
SVA_B	sense	SVA	2634	1747	395	698	128	86
SVA_C	antisense	SVA	1466	1025	414	797	36	21
SVA_C	sense	SVA	1524	992	276	370	22	11
SVA_D	antisense	SVA	11159	6642	1878	3108	148	79
SVA_D	sense	SVA	4605	2648	787	1127	439	231
SVA_E	antisense	SVA	759	522	251	345	98	62
SVA_E	sense	SVA	2296	1462	138	176	18	14
SVA_F	antisense	SVA	3545	2065	386	513	20	12
SVA_F	sense	SVA	698	381	174	189	100	53
