subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M5	antisense	L1	2802	2572	2938	3632	266	115
L1M5	sense	L1	144832	123883	158137	198499	1356	1050
L1M6	antisense	L1	638	518	741	711	17	11
L1M6	sense	L1	18533	14719	17659	21810	73	76
L1M6B	antisense	L1	9	14	23	19	0	0
L1M6B	sense	L1	2053	1476	1526	2048	3	4
L1M7	antisense	L1	61	59	241	247	5	1
L1M7	sense	L1	9056	7461	11227	14234	57	34
L1M8	antisense	L1	268	266	193	251	3	5
L1M8	sense	L1	10736	7987	12235	15484	62	30
L1MA1	antisense	L1	1355	1145	680	881	5	4
L1MA1	sense	L1	21626	16671	21551	26644	97	57
L1MA10	antisense	L1	372	355	357	469	22	9
L1MA10	sense	L1	12429	10446	16542	20755	60	39
L1MA2	antisense	L1	1568	1416	688	897	323	205
L1MA2	sense	L1	31739	25273	31070	39149	3652	2201
L1MA3	antisense	L1	2795	2401	1551	1937	14	9
L1MA3	sense	L1	67842	54346	90378	111955	245	199
L1MA4	antisense	L1	883	829	676	756	21	8
L1MA4	sense	L1	44319	36524	65545	80260	289	225
L1MA4A	antisense	L1	1047	802	379	571	8	11
L1MA4A	sense	L1	37377	27184	41001	49072	132	135
L1MA5	antisense	L1	465	448	792	944	10	14
L1MA5	sense	L1	15810	13126	40525	46626	104	104
L1MA5A	antisense	L1	427	399	299	344	294	158
L1MA5A	sense	L1	14522	11556	14475	18098	58	60
L1MA6	antisense	L1	517	511	326	405	10	6
L1MA6	sense	L1	24535	19583	22881	27995	103	77
L1MA7	antisense	L1	574	554	461	515	6	5
L1MA7	sense	L1	24785	19943	19768	24697	115	90
L1MA8	antisense	L1	1285	1310	879	1066	28	20
L1MA8	sense	L1	29326	23570	30826	38978	178	147
L1MA9	antisense	L1	1087	902	1338	1636	14	18
L1MA9	sense	L1	50144	39914	53086	65701	186	184
L1MB1	antisense	L1	685	698	302	410	9	3
L1MB1	sense	L1	17251	13589	10225	13020	40	48
L1MB2	antisense	L1	525	474	541	615	18	18
L1MB2	sense	L1	38190	30086	36976	47389	214	164
L1MB3	antisense	L1	1846	1589	886	1121	136	89
L1MB3	sense	L1	69948	52070	52068	68866	593	416
L1MB4	antisense	L1	696	569	387	574	14	4
L1MB4	sense	L1	35241	27509	31682	39991	265	185
L1MB5	antisense	L1	861	735	687	709	31	13
L1MB5	sense	L1	32336	23824	22190	29135	256	159
L1MB7	antisense	L1	1992	1698	1638	2239	91	51
L1MB7	sense	L1	109106	86356	83145	108660	942	565
L1MB8	antisense	L1	2305	1677	1224	1625	55	27
L1MB8	sense	L1	73410	57223	59414	77579	423	314
L1MC	antisense	L1	313	292	324	364	13	7
L1MC	sense	L1	19720	16145	18032	22900	118	106
L1MC1	antisense	L1	893	941	640	740	25	31
L1MC1	sense	L1	59428	45094	47042	58965	251	150
L1MC2	antisense	L1	142	164	930	1155	20	15
L1MC2	sense	L1	31749	26170	36933	45471	146	129
L1MC3	antisense	L1	920	787	711	909	26	23
L1MC3	sense	L1	54162	40668	35337	45680	2150	1285
L1MC4	antisense	L1	1682	1533	1485	2036	115	86
L1MC4	sense	L1	87317	69284	81937	108934	1135	723
L1MC4a	antisense	L1	620	534	818	1216	28	22
L1MC4a	sense	L1	46112	36415	39998	52670	263	208
L1MC5	antisense	L1	842	738	732	919	79	35
L1MC5	sense	L1	43579	35250	32083	41012	543	293
L1MC5a	antisense	L1	890	749	627	868	39	30
L1MC5a	sense	L1	55175	45846	39521	50057	421	277
L1MCa	antisense	L1	403	277	415	448	15	3
L1MCa	sense	L1	22245	17986	21476	26801	87	62
L1MCb	antisense	L1	141	206	204	269	7	0
L1MCb	sense	L1	12715	10524	12662	13900	15	14
L1MCc	antisense	L1	203	203	149	156	7	0
L1MCc	sense	L1	7651	5414	8753	11457	32	39
L1MD	antisense	L1	492	629	557	651	21	11
L1MD	sense	L1	23036	19518	28348	36245	323	202
L1MD1	antisense	L1	335	336	1405	1624	30	9
L1MD1	sense	L1	26600	21445	22444	28544	8813	4365
L1MD2	antisense	L1	765	701	820	968	24	26
L1MD2	sense	L1	41968	33911	32040	42456	229	201
L1MD3	antisense	L1	773	624	464	632	8	8
L1MD3	sense	L1	20641	15969	21375	26297	457	244
L1MDa	antisense	L1	437	381	372	467	12	3
L1MDa	sense	L1	28531	22248	31286	41096	383	231
L1MDb	antisense	L1	5	9	42	46	11	1
L1MDb	sense	L1	1565	1299	1046	1243	2	5
L1ME1	antisense	L1	2978	2812	2277	2716	90	62
L1ME1	sense	L1	113544	93333	100662	127928	732	600
L1ME2	antisense	L1	1080	1054	866	1159	37	14
L1ME2	sense	L1	46950	38207	44050	54257	239	171
L1ME2z	antisense	L1	236	203	268	330	27	37
L1ME2z	sense	L1	16982	14074	12367	16229	91	80
L1ME3	antisense	L1	769	824	758	855	21	7
L1ME3	sense	L1	28989	22860	25632	32664	229	148
L1ME3A	antisense	L1	748	649	1119	1345	35	21
L1ME3A	sense	L1	45230	36020	36149	45477	209	183
L1ME3B	antisense	L1	666	667	612	905	40	25
L1ME3B	sense	L1	36021	28716	34998	43968	289	205
L1ME3C	antisense	L1	130	92	132	161	4	2
L1ME3C	sense	L1	11877	9461	8653	11439	116	99
L1ME3Cz	antisense	L1	673	594	789	828	23	13
L1ME3Cz	sense	L1	38854	32075	37567	47226	314	228
L1ME3D	antisense	L1	370	301	292	355	7	2
L1ME3D	sense	L1	11850	9802	13409	17104	116	67
L1ME3E	antisense	L1	517	471	412	543	8	10
L1ME3E	sense	L1	12062	10152	11706	14926	80	80
L1ME3F	antisense	L1	326	341	304	409	11	10
L1ME3F	sense	L1	13659	10852	17659	22965	101	94
L1ME3G	antisense	L1	726	726	662	871	61	38
L1ME3G	sense	L1	41012	33498	36809	46168	397	298
L1ME4a	antisense	L1	1412	1196	1455	1766	92	56
L1ME4a	sense	L1	54070	48565	46857	60411	644	412
L1ME4b	antisense	L1	1518	1269	1127	1428	54	31
L1ME4b	sense	L1	58713	47822	46296	59985	662	440
L1ME4c	antisense	L1	375	336	350	400	23	1
L1ME4c	sense	L1	21622	18572	20871	26052	469	278
L1ME5	antisense	L1	627	502	191	250	19	5
L1ME5	sense	L1	8110	5765	6344	8250	72	45
L1MEa	antisense	L1	3	6	17	25	4	6
L1MEa	sense	L1	1212	914	593	755	5	2
L1MEb	antisense	L1	26	14	255	272	0	2
L1MEb	sense	L1	7659	6380	9547	11771	50	11
L1MEc	antisense	L1	1831	1563	1456	1762	26	31
L1MEc	sense	L1	78756	61334	81859	103330	444	385
L1MEd	antisense	L1	1222	1477	1416	2029	48	31
L1MEd	sense	L1	79985	63077	90148	115872	583	554
L1MEf	antisense	L1	892	744	912	1075	26	11
L1MEf	sense	L1	47699	39236	52688	69723	284	217
L1MEg	antisense	L1	1125	1253	1231	1581	36	26
L1MEg	sense	L1	48622	39916	62687	77951	306	292
L1MEg1	antisense	L1	28	33	78	95	0	0
L1MEg1	sense	L1	1256	974	2327	2855	6	2
L1MEg2	antisense	L1	9	13	19	13	1	1
L1MEg2	sense	L1	1255	957	1300	1810	1	2
L1MEh	antisense	L1	248	239	155	151	6	0
L1MEh	sense	L1	7071	5819	8975	11673	80	30
L1MEi	antisense	L1	249	265	287	389	11	5
L1MEi	sense	L1	21321	17001	25559	33655	212	128
L1MEj	antisense	L1	51	68	169	225	4	1
L1MEj	sense	L1	10391	8516	12074	15548	30	36
L1P	antisense	L1	0	0	0	1	0	0
L1P	sense	L1	12	19	17	14	0	0
L1P1	antisense	L1	813	511	796	1051	10	2
L1P1	sense	L1	19022	14499	31511	42649	2676	1391
L1P2	antisense	L1	281	219	225	342	18	4
L1P2	sense	L1	18326	13399	21149	30050	142	110
L1P3	antisense	L1	212	164	330	340	1	0
L1P3	sense	L1	21462	15691	30981	41091	54	77
L1P3b	antisense	L1	5	0	0	3	0	0
L1P3b	sense	L1	130	110	140	135	0	0
L1P4	antisense	L1	335	303	297	342	18	2
L1P4	sense	L1	14084	10857	10435	12867	55	59
L1P4a	antisense	L1	1156	837	280	347	12	4
L1P4a	sense	L1	3496	2575	3629	4298	2	11
L1P4b	antisense	NA	0	0	0	0	0	0
L1P4b	sense	L1	0	4	0	0	0	0
L1P4c	antisense	NA	0	0	0	0	0	0
L1P4c	sense	L1	0	4	0	0	0	0
L1P4d	antisense	L1	59	25	6	7	3	0
L1P4d	sense	L1	42	36	28	23	0	0
L1P4e	antisense	L1	41	44	0	12	0	0
L1P4e	sense	L1	519	357	173	232	7	8
L1P5	antisense	L1	14	23	19	24	0	0
L1P5	sense	L1	1106	922	1397	1789	6	8
L1PA10	antisense	L1	1306	1123	694	840	16	5
L1PA10	sense	L1	42438	31743	38721	52502	138	119
