subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1M6	antisense	L1	32	168.1213	133.9372	150.1970	0.8303	-0.0340	0.3981	NO
L1PB	antisense	L1	10	167.8945	131.0192	89.0004	0.7964	-0.0049	0.3958	NO
L1MA5	antisense	L1	26	119.3284	92.4664	181.6022	0.7040	0.0619	0.3830	yes
L1M2a	sense	L1	2	6.3096	15.3606	0.0000	-2.0267	2.7728	0.3730	NO
L1M	antisense	L1	3	2.9638	3.8402	3.7904	-1.6275	2.3557	0.3641	NO
L1ME3	antisense	L1	125	914.3351	730.6746	842.8780	0.3960	0.2431	0.3196	yes
L1P	sense	L1	1	0.2262	0.0000	0.0000	0.5384	0.0000	0.2692	NO
L1PB4	antisense	L1	48	311.0029	279.8633	363.5675	-0.2531	0.7681	0.2575	NO
AluYh7	antisense	Alu	1	0.1716	0.0000	0.0000	0.0000	0.4257	0.2128	NO
L1M	sense	L1	2	0.1716	0.0000	0.1385	0.0000	0.4257	0.2128	NO
L1M2c	antisense	L1	1	0.1716	0.0000	2.6827	0.0000	0.4257	0.2128	NO
L1M3de	antisense	L1	2	0.1716	0.0000	4.2650	0.0000	0.4257	0.2128	NO
L1P5	sense	L1	1	0.1716	0.0000	0.0000	0.0000	0.4257	0.2128	NO
L1MEi	sense	L1	12	64.5626	56.8314	15.0895	0.4091	0.0006	0.2048	yes
L1MC5	sense	L1	92	157.2490	144.5354	22.4862	0.6350	-0.2506	0.1922	NO
L1PA6	sense	L1	35	142.3682	139.7730	74.7602	0.8321	-0.4589	0.1866	NO
L1M3c	antisense	L1	16	22.7893	21.1965	78.6976	0.6865	-0.3997	0.1434	NO
L1PREC2	antisense	L1	47	495.6348	455.5737	730.1233	0.4078	-0.1304	0.1387	NO
L1ME3G	antisense	L1	197	2304.7887	2124.4282	3396.2911	0.3239	-0.0736	0.1251	NO
L1PA3	antisense	L1	140	3488.5580	3236.0498	3768.1775	0.0588	0.1637	0.1112	yes
L1M5	sense	L1	213	867.2338	803.6377	178.9979	0.1013	0.1202	0.1107	yes
L1MC1	antisense	L1	87	1127.4577	1050.6180	853.7517	0.3294	-0.1187	0.1053	NO
L1PA11	antisense	L1	34	502.5289	496.2735	1669.1608	0.6651	-0.4612	0.1019	NO
L1M3	antisense	L1	57	610.0100	570.9298	683.2184	0.1938	-0.0064	0.0937	NO
L1MA1	antisense	L1	25	334.5706	319.7921	463.0421	0.5047	-0.3427	0.0810	NO
L1M4	antisense	L1	156	1175.9109	1142.3134	2076.8084	0.3047	-0.1840	0.0603	NO
AluYi6	antisense	Alu	6	249.6698	240.6907	136.2865	0.1043	0.0002	0.0522	yes
L1ME4c	sense	L1	41	63.0103	63.5895	21.1673	0.4400	-0.3559	0.0420	NO
L1MDa	antisense	L1	79	602.6571	591.3553	845.4645	0.2606	-0.1766	0.0420	NO
AluYh7	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYh9	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYk12	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M2a1	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M2b	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M2b	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M2c	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1M3b	antisense	L1	2	0.0000	0.0000	0.6131	0.0000	0.0000	0.0000	yes
L1P	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4c	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4c	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
L1P4e	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
