subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1MA5	sense	L1	49	34	24	39	3	1
L1MA5A	antisense	L1	1132	880	207	304	1	6
L1MA5A	sense	L1	4	3	71	105	0	6
L1MA6	antisense	L1	8826	7453	2740	3570	181	108
L1MA6	sense	L1	37	24	89	70	2	0
L1MA7	antisense	L1	1938	1501	887	983	20	26
L1MA7	sense	L1	20	5	27	26	1	0
L1MA8	antisense	L1	6087	5297	2415	2907	163	113
L1MA8	sense	L1	47	30	97	119	8	8
L1MA9	antisense	L1	4603	4092	1579	2043	159	83
L1MA9	sense	L1	345	209	236	347	7	2
L1MB1	antisense	L1	3539	2954	2069	2321	142	110
L1MB1	sense	L1	26	30	109	119	2	0
L1MB2	antisense	L1	16860	15081	7929	9408	734	494
L1MB2	sense	L1	31	22	157	171	78	46
L1MB3	antisense	L1	10882	8265	3408	4066	651	404
L1MB3	sense	L1	391	255	384	552	19	31
L1MB4	antisense	L1	5696	4973	2265	2723	191	102
L1MB4	sense	L1	163	105	157	131	7	5
L1MB5	antisense	L1	4427	3224	1517	1944	576	354
L1MB5	sense	L1	113	75	102	172	17	3
L1MB7	antisense	L1	25922	21220	8630	12578	765	459
L1MB7	sense	L1	701	445	904	1099	75	30
L1MB8	antisense	L1	6223	4673	2270	2961	182	120
L1MB8	sense	L1	355	244	236	314	30	17
L1MC	antisense	L1	1864	1672	550	705	226	168
L1MC	sense	L1	36	49	86	105	17	8
L1MC1	antisense	L1	3800	3091	2646	3083	124	85
L1MC1	sense	L1	438	374	410	537	7	3
L1MC2	antisense	L1	2220	2046	992	1053	19	9
L1MC2	sense	L1	12	4	62	56	2	0
L1MC3	antisense	L1	11075	9014	3856	4538	488	267
L1MC3	sense	L1	860	473	385	534	50	30
L1MC4	antisense	L1	16219	13632	7683	9281	436	284
L1MC4	sense	L1	979	643	1491	1611	43	19
L1MC4a	antisense	L1	5292	4243	2093	2691	147	90
L1MC4a	sense	L1	135	83	175	212	12	1
