subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1P4e	sense	L1	40	225.3677	99.2245	259.3633	1.5401	0.8849	1.2125	yes
L1MC4	antisense	L1	8976	46340.7118	20128.4699	57857.8875	1.2502	1.1553	1.2027	yes
L1MB5	sense	L1	2381	13563.6900	5956.4297	9866.2590	1.2801	1.0988	1.1895	yes
L1ME1	sense	L1	7775	63504.3740	27852.5100	35802.7199	1.2692	1.1096	1.1894	yes
L1MB8	antisense	L1	5578	24301.2023	10739.9760	34195.0165	1.2902	1.0694	1.1798	yes
L1MEh	antisense	L1	672	2758.1190	1220.6586	3783.0779	1.1917	1.1579	1.1748	yes
L1MA6	antisense	L1	1431	6909.8336	3088.5669	9982.3033	1.4000	0.9439	1.1720	yes
L1ME3	antisense	L1	2673	10752.6552	4797.9995	12505.7121	1.1729	1.1547	1.1638	yes
L1M3d	antisense	L1	101	493.2726	221.4899	821.7321	1.2997	1.0174	1.1585	yes
L1PA12	sense	L1	504	4137.4587	1856.2514	6645.8785	1.1816	1.1307	1.1562	yes
L1M3b	antisense	L1	131	415.6616	188.7729	1427.8405	1.3853	0.9141	1.1497	yes
L1MD3	sense	L1	1243	12094.6629	5499.7973	5983.2761	1.1503	1.1226	1.1364	yes
L1M3f	antisense	L1	234	827.7578	378.3168	2173.4156	1.1309	1.1240	1.1274	yes
L1ME3G	antisense	L1	4812	16707.3814	7670.4439	19985.4711	1.2384	1.0125	1.1255	yes
L1HS	antisense	L1	1241	4904.3864	2283.7193	8112.5174	1.1172	1.0879	1.1025	yes
L1MEf	antisense	L1	3452	14298.9795	6772.2077	22347.4388	1.1486	1.0066	1.0776	yes
L1MD1	antisense	L1	1850	9933.3396	4755.2892	14260.3544	1.1454	0.9794	1.0624	yes
L1M7	antisense	L1	824	2666.0552	1294.2266	3569.6765	1.2362	0.8556	1.0459	yes
L1MC5a	sense	L1	4581	26702.5640	13010.9649	17588.5201	1.0846	0.9897	1.0372	yes
L1ME4c	antisense	L1	2576	8440.6380	4157.4931	7847.8533	0.9670	1.0791	1.0230	yes
L1MEd	antisense	L1	5465	15206.6247	7524.6838	22553.3892	1.1142	0.9175	1.0158	yes
L1MC3	antisense	L1	3416	18247.6311	9175.4109	27491.1601	1.1256	0.8615	0.9936	yes
L1ME2	antisense	L1	3527	15046.2527	7630.3491	18115.6746	1.1350	0.8314	0.9832	yes
L1P2	sense	L1	615	14538.1577	7350.5153	5228.3454	0.9430	1.0234	0.9832	yes
L1MD	antisense	L1	2300	7160.3449	3693.1360	7789.7310	1.1580	0.7653	0.9616	yes
L1M4a1	antisense	L1	721	2997.4135	1559.1830	5205.9443	1.1912	0.7108	0.9510	yes
L1MB4	antisense	L1	2991	11074.0398	5758.7666	19644.7363	0.9225	0.9644	0.9435	yes
L1M3	antisense	L1	1628	6128.2395	3201.0051	8241.4547	1.1310	0.7548	0.9429	yes
L1ME4a	sense	L1	7275	30409.5519	16129.8290	17549.1669	0.9097	0.9199	0.9148	yes
L1MC5a	antisense	L1	6109	26501.1315	14104.1124	32390.2801	1.0093	0.8137	0.9115	yes
L1M4b	sense	L1	1023	12392.2529	6639.7829	6318.0888	1.0925	0.7185	0.9055	yes
L1ME3Cz	antisense	L1	3254	11753.3619	6300.1850	13211.7673	1.0225	0.7803	0.9014	yes
L1MC5	sense	L1	4179	21076.3540	11301.4106	13280.0919	0.9202	0.8774	0.8988	yes
L1PA2	antisense	L1	3223	18263.6289	9878.1457	27260.1351	0.9125	0.8612	0.8868	yes
L1ME2z	antisense	L1	2376	10968.3966	5944.7580	12796.9424	0.9834	0.7870	0.8852	yes
AluYe6	antisense	Alu	57	54.2438	37.4794	105.6443	-0.1408	1.8913	0.8753	NO
L1MEc	antisense	L1	5374	22880.4325	12499.0430	37031.2182	0.8892	0.8539	0.8716	yes
L1MEg1	antisense	L1	205	874.4765	484.4506	1359.9389	1.1008	0.6303	0.8655	yes
L1P4b	antisense	L1	42	179.8128	101.9911	290.2901	0.4694	1.2113	0.8404	yes
L1MCb	antisense	L1	447	1657.3057	947.7194	2440.3674	0.6224	1.0503	0.8363	yes
L1MB7	antisense	L1	7974	33001.2966	18979.2176	52845.9136	0.8557	0.7420	0.7989	yes
L1ME3B	antisense	L1	2494	9784.8151	5628.3523	12803.6926	0.8523	0.7425	0.7974	yes
SVA_B	antisense	SVA	464	3425.8881	2123.5060	6902.6703	0.6834	0.6948	0.6891	yes
L1ME4a	antisense	L1	9684	34885.2001	21868.7159	27830.7101	0.7622	0.5888	0.6755	yes
L1M5	antisense	L1	13803	41576.5948	26183.2314	44380.9792	0.7033	0.6297	0.6665	yes
L1PBa1	sense	L1	144	4423.8071	2793.9775	4694.1865	0.6921	0.6338	0.6629	yes
L1MB3	antisense	L1	5431	20623.7259	13636.0959	38007.1674	0.6935	0.5032	0.5983	yes
L1MC5	antisense	L1	5561	26415.4807	18264.8702	31439.1412	0.5206	0.5444	0.5325	yes
L1PA12	antisense	L1	443	1839.6361	1305.2934	3762.3332	0.4407	0.5518	0.4963	yes
SVA_C	antisense	SVA	318	3647.0791	2604.2824	6324.8919	0.3096	0.6391	0.4743	yes
L1M4	antisense	L1	5861	20285.6936	14780.9474	30192.9436	0.3920	0.5273	0.4597	yes
L1M	sense	L1	166	542.9919	396.5953	325.7798	0.4311	0.4751	0.4531	yes
AluJr4	antisense	Alu	7113	17057.5125	12667.8293	39113.5066	0.4438	0.4146	0.4292	yes
L1ME5	antisense	L1	785	2703.6741	2107.5256	4902.5656	0.6861	0.0787	0.3824	yes
AluYb8	antisense	Alu	1195	1049.7320	809.6248	1615.7877	0.2527	0.4897	0.3712	yes
AluYk11	antisense	Alu	314	309.8978	241.6129	628.4455	0.1730	0.5374	0.3552	yes
Alu	sense	Alu	957	2073.3389	1643.8178	2121.1215	0.5107	0.1706	0.3406	yes
AluYh7	antisense	Alu	42	29.8326	25.9589	67.8981	-0.6579	1.3378	0.3400	NO
L1MA5A	antisense	L1	921	4129.5492	3325.2810	6514.8128	0.3541	0.2695	0.3118	yes
L1ME3D	antisense	L1	1197	5602.5738	4517.6825	5856.9314	0.3505	0.2664	0.3084	yes
L1MB5	antisense	L1	3108	10979.0658	8873.1412	19143.2443	0.3674	0.2474	0.3074	yes
L1ME4c	sense	L1	2152	12468.9569	10157.9942	6641.3146	0.3967	0.1959	0.2963	yes
L1ME4b	antisense	L1	7251	27804.8807	23053.6178	31488.5789	0.3042	0.2367	0.2704	yes
L1MC3	sense	L1	3032	25328.9630	21225.9112	16760.8416	0.3549	0.1564	0.2556	yes
AluYg6	antisense	Alu	280	282.1388	244.3796	450.6851	-0.1017	0.5893	0.2438	NO
AluYb9	antisense	Alu	132	94.8633	81.8681	145.4360	0.2721	0.1629	0.2175	yes
AluJr4	sense	Alu	6710	22280.4992	19857.2535	25296.9771	0.1029	0.2311	0.1670	yes
L1MC	antisense	L1	2023	6423.2099	5765.6611	6859.3663	0.2675	0.0467	0.1571	yes
AluYc	antisense	Alu	1315	2425.4297	2198.3135	3740.5821	0.1932	0.0949	0.1441	yes
SVA_F	antisense	SVA	635	1876.7261	1710.1740	6381.3443	0.1153	0.1499	0.1326	yes
L1M4c	antisense	L1	1006	3429.6464	3255.2211	5763.3914	0.3033	-0.1290	0.0872	NO
AluSg4	antisense	Alu	2468	4780.6743	4540.4062	10268.9209	0.0454	0.1021	0.0738	yes
AluSz6	antisense	Alu	16879	36933.1811	35187.2701	79039.8758	0.0132	0.1261	0.0697	yes
AluYi6	antisense	Alu	147	370.3703	353.2801	331.0490	0.0873	0.0466	0.0669	yes
Alu	antisense	Alu	1032	1765.0455	1751.8108	3425.4263	-0.0979	0.1275	0.0148	NO
L1M3a	antisense	L1	247	1627.7850	1622.1676	2543.2386	0.0013	0.0087	0.0050	yes
AluYb10	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYb10	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYb11	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYb11	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYb8a1	antisense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYb8a1	sense	NA	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	yes
AluYh3	antisense	Alu	839	1256.2708	1294.3926	2365.5132	-0.2819	0.2193	-0.0313	NO
AluJr	antisense	Alu	28430	63533.9979	66168.3349	149508.5367	-0.0810	-0.0362	-0.0586	yes
L1P1	sense	L1	1524	20865.5985	21871.5565	7073.8131	-0.1333	-0.0018	-0.0675	yes
AluJo	antisense	Alu	26728	57459.7960	60322.6058	134915.9672	-0.0794	-0.0610	-0.0702	yes
