subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1MCa	antisense	L1	2436.73048495605	0.798288447795834	0.110500540923324	5.03710003911481e-13	1.37375455612222e-12
L1PA10	antisense	L1	2144.87985477506	0.797934588241995	0.133301827458332	2.15165024304928e-09	4.78144498455396e-09
L1MCc	antisense	L1	1035.19041833302	0.787963314583814	0.159209464797332	7.4509930104781e-07	1.50694240661355e-06
L1PA2	sense	L1	7715.40321743536	0.775177383262588	0.129307304725032	2.03678319319487e-09	3.16052564461272e-09
L1M8	antisense	L1	386.940008068054	0.772316474746156	0.244528067799996	0.00158639893820222	0.00250484042874034
L1MA7	sense	L1	2691.86632044022	0.766003470231658	0.102150879481253	6.44313788741024e-14	1.17147961589277e-13
L1M3c	antisense	L1	168.694740089709	0.71697459449891	0.518494273549296	0.166725777216138	0.201413690596677
L1M4a2	antisense	L1	436.295560952678	0.670519105566765	0.351046926429133	0.0561260703510446	0.0765355504786971
L1MEa	antisense	L1	98.3772145460856	0.657681301657838	0.472722406826588	0.164145620204631	0.199636565113741
L1MCc	sense	L1	1343.30593487898	0.657522197440916	0.235594380280655	0.00525604395236761	0.00643597218657258
L1M1	antisense	L1	4307.89257127536	0.649533704305693	0.0829286474713453	4.78489327219394e-15	1.41193571966379e-14
L1MDa	antisense	L1	2099.89998729857	0.634465966803016	0.107106258077664	3.14766289406993e-09	6.82625687870586e-09
L1MEa	sense	L1	81.4463179232776	0.628784204478496	0.740046765760113	0.395517096994003	0.421260813366394
L1M3b	sense	L1	208.988227555203	0.600498583724203	0.308574971643111	0.0516501895331235	0.0588419880757103
L1PB	antisense	L1	497.645294558327	0.598028135169144	0.204472843982417	0.00344753719641851	0.00517130579462777
L1P4a	antisense	L1	170.237263065334	0.594772697170311	0.346496233341711	0.0860642810165829	0.11390860722783
L1MA5	antisense	L1	1667.71958865443	0.594301379400562	0.141188152994082	2.56178438456902e-05	4.80334572106692e-05
L1PB2	antisense	L1	797.693676420327	0.556025046166519	0.175843786721266	0.00156668168447426	0.00249559914341032
L1MB8	sense	L1	9646.71746264812	0.554123076337977	0.117109251317236	2.2267323324864e-06	3.20649455878041e-06
L1MEh	sense	L1	1250.7317453042	0.55067878441924	0.168091053379872	0.00105260855372397	0.00137296767877039
L1MEd	sense	L1	13230.7553046632	0.534822486913481	0.152297172867633	0.000445244746560741	0.000589294517506863
L1MEg2	antisense	L1	316.122837897194	0.523606550402246	0.456356402102347	0.251231536037696	0.29364724991419
L1P2	antisense	L1	1092.24858437987	0.516968113808217	0.172485138931664	0.00272494406315047	0.00415669433361936
L1PA3	antisense	L1	9316.01663031319	0.510965673667152	0.0650371045528554	3.94935333214602e-15	1.18480599964381e-14
L1MDa	sense	L1	5650.40273861248	0.500957459206158	0.0802352142732439	4.27582864681566e-10	6.81105448165327e-10
L1ME3E	antisense	L1	1835.55688169367	0.47797192810039	0.124787206848796	0.00012798925090681	0.000228099655081444
L1MD3	antisense	L1	1741.96898643903	0.439472380656992	0.113568985394738	0.000108991092216015	0.000196183965988827
L1M	antisense	L1	85.1064313291859	0.438551886687796	0.483703466319148	0.364589572826417	0.418000784132198
L1PA8	antisense	L1	2750.58882073036	0.423650505144606	0.0923607126458902	4.49849155405795e-06	8.70675784656378e-06
L1M2	antisense	L1	3223.52908928483	0.414820194429344	0.104171937631186	6.83169698828588e-05	0.000125480148764435
L1ME3C	antisense	L1	778.041094711832	0.405402293988625	0.162018759752442	0.0123426431251429	0.0173568418947322
L1M6B	antisense	L1	176.075631545659	0.401112956898601	0.340699222856124	0.239066697143328	0.28125493781568
L1M2	sense	L1	7618.89917431089	0.40069874634369	0.119158557933681	0.000771741903033317	0.00101396746383939
L1ME3F	antisense	L1	1535.96027739496	0.397415920924354	0.132039451380741	0.00261396432705342	0.00402148358008218
L1MA10	antisense	L1	1591.36972703178	0.394825908065124	0.118975755542291	0.000904890772206116	0.00150815128701019
L1MC	sense	L1	3591.38202172062	0.382345958627839	0.0964513672184793	7.36634621488333e-05	0.000101216970891527
L1MA8	antisense	L1	3342.53360479311	0.374394523780201	0.0898750933536592	3.10370695401071e-05	5.75945620331884e-05
L1ME1	antisense	L1	12995.1496915417	0.363958176248051	0.0694614404406967	1.60824465689699e-07	3.40569456754657e-07
L1MEg	antisense	L1	4216.70727855098	0.350009118039191	0.0783222564675042	7.86473434112076e-06	1.4901601909492e-05
L1MB2	sense	L1	5274.1935976302	0.335295557734239	0.0890008542039497	0.000165003052581522	0.000220004070108695
L1MB1	antisense	L1	2205.99292209278	0.330210097092112	0.113113502116182	0.00350839817215169	0.00521910471890334
L1M4c	sense	L1	78377.7366344978	0.326789505050492	0.271264456144378	0.22832310128713	0.250598525802948
L1MB4	sense	L1	4640.76290729264	0.316008038980651	0.0806710266451603	8.95673386958945e-05	0.000122137280039856
L1ME3E	sense	L1	2010.40802894739	0.30231774635012	0.11674204539988	0.00960814247684081	0.0114534148730553
L1MA2	antisense	L1	3614.80268993044	0.30007892312042	0.0922292830417177	0.00113945096425056	0.00184775832040631
L1P4c	sense	L1	1.01915970445127	0.298772135699005	3.81838641251345	0.937632647998484	0.953524726778119
L1ME3A	antisense	L1	6505.72887765857	0.29062315247502	0.0849806377977062	0.000626499332918833	0.00107399885643228
L1MA8	sense	L1	5274.54716595386	0.277468285077406	0.094390812576672	0.00328669322141889	0.00410836652677361
L1MD2	antisense	L1	4597.20906605688	0.264186769163426	0.0805302711114615	0.00103590359105885	0.00169511496718721
L1MC4a	antisense	L1	5352.94965905181	0.23719047111269	0.0787621349412338	0.00259978865833389	0.00402148358008218
L1MC4	antisense	L1	15173.183013054	0.190263669661307	0.0594620825412098	0.00137547874547996	0.00221059084094993
L1MC4a	sense	L1	6329.46852077726	0.181952972430383	0.0758310636332897	0.0164196471072768	0.0193172318909139
L1ME3Cz	sense	L1	6198.53842282385	0.177672161045755	0.0891416848633901	0.046245746552816	0.0533604767917107
L1MB8	antisense	L1	8015.34809320638	0.172530033670107	0.0633885600391889	0.00649303648888268	0.00942537554837809
L1MA6	antisense	L1	2288.07342777286	0.170015321032908	0.116769029445684	0.145393533055097	0.179252301026832
L1M3d	antisense	L1	163.827794718404	0.163571190430456	0.330120549818727	0.620254793897702	0.668538101207104
L1M3b	antisense	L1	138.650903445343	0.159509063926799	0.360365917492595	0.658032783779139	0.70086332000145
L1MEh	antisense	L1	911.508097841846	0.15097260659753	0.150780675439035	0.316694883040399	0.367774702885625
L1ME3	antisense	L1	3567.40200192777	0.143808990996529	0.0926021843366244	0.120428813770126	0.151588716633725
L1ME5	sense	L1	1258.15853304812	0.141317335707381	0.127416949580729	0.267389763572619	0.291697923897402
L1MB1	sense	L1	2563.12649527328	0.141028663405943	0.0993391974997453	0.155704406594289	0.173004896215877
L1MD2	sense	L1	5285.34611721359	0.13387860728508	0.0796726550505637	0.0928876240176704	0.103849517535284
L1ME3G	antisense	L1	5610.89232339715	0.119210373212742	0.0711803428986106	0.0939802761631442	0.123477735104861
L1P4d	antisense	L1	18.4849001245349	0.107894520683997	1.1802781911604	0.927163254134831	0.932342937118824
L1ME3	sense	L1	4300.87178282814	0.104907001466603	0.122340433570363	0.39116825502147	0.421260813366394
L1M3f	antisense	L1	277.827038625032	0.100963702765642	0.255625414479529	0.692866954516525	0.731070259824935
L1HS	antisense	L1	1660.08944392177	0.0901302055655611	0.116430454870867	0.438864595849628	0.490656069893994
L1ME3D	sense	L1	2466.01916802402	0.0771234440722874	0.110034715303333	0.483364788532637	0.508805040560671
L1MEf	antisense	L1	4878.19388103979	0.0649605191491813	0.0754105586719947	0.389004167799163	0.443169305087654
L1P3b	sense	L1	18.4887047455938	0.0543012680474038	0.966198884280583	0.955181746745451	0.965914125922366
L1MD1	antisense	L1	3406.12111427713	0.0509658117114656	0.0838463328663178	0.543288401509397	0.596292147998118
L1MD	sense	L1	5089.91556701548	0.0507981406194468	0.0743887895609023	0.494686716423931	0.517695400908765
L1M7	antisense	L1	919.294467190439	0.0449467494243267	0.149155498289912	0.763154058239736	0.789469715420416
L1MEd	antisense	L1	5298.99749808539	0.00733246326905559	0.070167114221193	0.916772570169644	0.927073385564808
L1ME3A	sense	L1	6724.81337798166	0.00204349480105972	0.079014532916186	0.979367198019117	0.984838523147715
L1M3a	sense	L1	272.143683462373	-0.00111598807517906	0.254269538774549	0.99649809882553	0.99649809882553
L1ME4c	antisense	L1	2940.18566852681	-0.00181985172467837	0.110267217819958	0.986832299685479	0.986832299685479
L1M4	sense	L1	12421.9016606772	-0.0128830076331594	0.0825160098973011	0.875932624522609	0.89584018417085
L1MC3	antisense	L1	6407.51602776502	-0.0131427636927348	0.0696782754005182	0.850390123392718	0.864803515314628
L1ME2	antisense	L1	5304.44110814323	-0.0219091478619274	0.0770623571883295	0.776177307022616	0.798353801508976
L1ME3F	sense	L1	2799.17140822431	-0.0259277524890382	0.0917425594879712	0.77747257356272	0.80428197265109
L1MD	antisense	L1	2544.66092763431	-0.0408574328472946	0.104033631523434	0.694516746833688	0.731070259824935
L1M1	sense	L1	16426.5980897056	-0.045766869554106	0.0921592713876738	0.619466749562096	0.644531878157094
L1M4a1	antisense	L1	1069.35387267532	-0.0483566382348382	0.146743763553568	0.741754268267324	0.771767446752129
L1MB7	sense	L1	15640.4338640414	-0.0572731348630649	0.0616637337665419	0.352993930206165	0.382764502633191
L1M3	antisense	L1	2192.16673594469	-0.0591743124760231	0.106802760013195	0.579543068537849	0.632228802041289
L1ME3G	sense	L1	6269.80304061869	-0.0734593413071686	0.0932761885953152	0.430961984803866	0.456312689792329
L1MB4	antisense	L1	3962.64843410594	-0.0752213037055225	0.0916944294770069	0.412017987145015	0.463520235538141
L1MC5a	antisense	L1	9582.10527398784	-0.0964368993615636	0.0590350567354365	0.102352724506377	0.133503553703969
L1ME3Cz	antisense	L1	4264.50027597578	-0.105094959695345	0.0765233880000634	0.169637211838436	0.203564654206123
L1ME2z	antisense	L1	4003.54775876109	-0.122253846522507	0.0768365047553772	0.111589169916373	0.144503961042785
L1PA2	antisense	L1	6664.65663668511	-0.124965766095596	0.0717550656997046	0.0815854318983386	0.108780575864451
L1MEg1	antisense	L1	322.253828556032	-0.129510774226698	0.238871941563904	0.587696862014867	0.637261657606483
L1MEc	antisense	L1	8397.86845765663	-0.145360038198728	0.0917322490534198	0.113054478239695	0.14535575773675
L1ME2z	sense	L1	2459.74478675458	-0.201919284612404	0.119552666688644	0.0912277165927021	0.10263118116679
L1MB7	antisense	L1	12435.201096979	-0.210751756637184	0.0577026720131381	0.000259826784375672	0.000454066225122533
L1ME3B	antisense	L1	3688.31405117226	-0.216292983345921	0.0807138700821817	0.00736771905760675	0.0106095154429537
L1MB3	sense	L1	10135.6439772806	-0.220775840648772	0.0770534425228097	0.0041670636483638	0.00513747573085947
L1M6	sense	L1	3277.18182931244	-0.232534899937506	0.132861012801043	0.0800817895613975	0.0906586296921481
L1MCb	antisense	L1	625.449636648176	-0.242550386223878	0.260106573376749	0.351076187732104	0.405087908921658
L1P4b	antisense	L1	67.6250213285941	-0.2472973651922	0.516290023985898	0.631946284803635	0.677085305146752
L1ME3B	sense	L1	6614.32178140457	-0.256393338849653	0.0831470534505074	0.00204503397155749	0.00261068166581807
L1P4b	sense	L1	10.282844478583	-0.301679661584945	1.5478957206465	0.845473871444846	0.869630267771842
SVA_B	antisense	SVA	1343.91643982198	-0.303886342058287	0.19460123078424	0.118385810742747	0.150066520659821
L1ME3C	sense	L1	1639.09682044094	-0.304939326115693	0.1566745966086	0.0516159867844237	0.0588419880757103
L1ME4a	antisense	L1	13774.3156740186	-0.332665698373871	0.0557028334144333	2.34146528899964e-09	5.13980185390164e-09
L1M5	antisense	L1	16474.979467985	-0.346472496091807	0.0671984886840543	2.5233924460293e-07	5.28151907308459e-07
L1M5	sense	L1	30834.0180557269	-0.356535717028948	0.0495146200543965	5.99415670965422e-13	1.02756972165501e-12
L1ME4b	sense	L1	9392.73559165811	-0.362369241582356	0.0736306748140262	8.59079921729602e-07	1.25719012936039e-06
L1P4e	sense	L1	75.357496750707	-0.401225793297904	0.470485685419718	0.393775410116776	0.421260813366394
L1P3b	antisense	L1	5.19679148802381	-0.40807043241444	1.79769704259749	0.820426681875468	0.839072742827183
L1MB3	antisense	L1	8391.52577414781	-0.409787154942318	0.060073478177214	9.0137344611675e-12	2.31781743287164e-11
L1MC4	sense	L1	19009.0643294274	-0.424939786466192	0.105648747378686	5.76584696511642e-05	7.98348041323812e-05
L1MB5	sense	L1	4555.58388538516	-0.449165767111129	0.0778779257284869	8.0426488692177e-09	1.21653512307495e-08
L1ME1	sense	L1	21329.069450554	-0.451067380115409	0.064382289522189	2.4509028230317e-12	4.04736246005236e-12
AluYh9	antisense	Alu	12.6453623799093	-0.467526397606926	1.29914175088076	0.71894190277652	0.752381061045196
L1MC5	antisense	L1	11046.6919738257	-0.482848241421359	0.0803401149523912	1.85464216150495e-09	4.17294486338613e-09
L1PA12	sense	L1	1408.9720110513	-0.489649226969746	0.125884244435283	0.000100377153753825	0.000135848779516455
L1MD3	sense	L1	4156.02251933193	-0.512208715413957	0.123232401556038	3.23237756474543e-05	4.54553095042326e-05
SVA_C	antisense	SVA	1554.81601248471	-0.521815741466848	0.186505806284302	0.005144359481269	0.00752833094819854
L1PA12	antisense	L1	781.535910154547	-0.532527325817223	0.158753232893936	0.00079527370506485	0.00133784361599694
L1M4	antisense	L1	8757.81078555295	-0.561720423561643	0.113381981624433	7.2617242674424e-07	1.48535269106776e-06
AluJr4	antisense	Alu	7436.85485998953	-0.58413335534687	0.0709739451694675	1.8682217543046e-16	5.79792958232463e-16
L1MC5a	sense	L1	9549.26412485127	-0.605657636770259	0.0835648729242233	4.23739509125116e-13	7.40515647014766e-13
AluYe6	antisense	Alu	22.9891957945854	-0.618251510181504	0.916348776998747	0.499872632526227	0.552006588065772
L1ME5	antisense	L1	1208.55525535855	-0.625504012164537	0.165273331277461	0.000153916438874499	0.000271617245072646
AluYb8	antisense	Alu	468.723732493441	-0.642222906963327	0.217259336049561	0.00311637047735924	0.00471383769684591
L1P2	sense	L1	5321.74232008539	-0.65900786436615	0.12519989498941	1.41226639274788e-07	2.10089215450097e-07
AluYk11	antisense	Alu	139.413277718118	-0.666471904945347	0.359941968051797	0.0640819428536589	0.0867274414560797
L1MB5	antisense	L1	5037.12496357973	-0.704214525466561	0.0696416967526455	4.88927281899385e-24	1.9131937117802e-23
L1MA5A	antisense	L1	1891.24724874821	-0.704791286319169	0.103573860436518	1.01244826357586e-11	2.56677024568528e-11
L1ME3D	antisense	L1	2569.48877065839	-0.710860936338303	0.117011657968924	1.23887958011526e-09	2.82276360026262e-09
L1M4b	sense	L1	4683.3676866973	-0.7296873828355	0.0856336469627105	1.58132461262683e-17	3.12789483816296e-17
L1ME4a	sense	L1	11470.4978096544	-0.730144463285126	0.118514327821136	7.23729860823574e-10	1.14273135919512e-09
L1ME4b	antisense	L1	12965.0175257448	-0.741126951111723	0.0597938670330729	2.79193996361431e-35	1.73292825327785e-34
