subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M4c	sense	L1	66970	65112	665006	911824	7454	7585
L1M5	antisense	L1	184518	171217	94556	117669	3420	1931
L1M5	sense	L1	194102	164759	216268	270142	4842	3049
L1M6	antisense	L1	18301	16303	9649	11562	110	77
L1M6	sense	L1	25179	20305	24270	29709	449	343
L1M6B	antisense	L1	5027	4031	1322	1643	32	13
L1M6B	sense	L1	2909	1986	2166	2984	174	142
L1M7	antisense	L1	14974	13664	6163	7414	154	104
L1M7	sense	L1	14414	11806	20214	26136	170	102
L1M8	antisense	L1	10588	9038	3245	3938	58	26
L1M8	sense	L1	16272	12359	17623	22137	151	74
L1MA1	antisense	L1	58045	50778	18822	23063	201	129
L1MA1	sense	L1	31807	24576	30050	37817	222	126
L1MA10	antisense	L1	19857	17038	11849	14494	237	156
L1MA10	sense	L1	16943	14023	20852	25812	116	86
L1MA2	antisense	L1	97377	86397	26140	31976	550	373
L1MA2	sense	L1	51310	40582	53379	66630	3841	2333
L1MA3	antisense	L1	123405	108162	39135	48069	513	307
L1MA3	sense	L1	101379	80484	129039	159534	458	352
L1MA4	antisense	L1	84011	75813	31110	38257	401	256
L1MA4	sense	L1	68838	56524	95224	116013	595	450
L1MA4A	antisense	L1	83807	70493	24025	29213	267	164
L1MA4A	sense	L1	65960	48417	79650	94040	304	239
L1MA5	antisense	L1	35135	31926	12969	16214	210	164
L1MA5	sense	L1	25853	21604	50507	59051	181	180
L1MA5A	antisense	L1	28012	24384	9398	11679	433	246
L1MA5A	sense	L1	22079	17855	21722	26424	158	164
L1MA6	antisense	L1	42766	37488	15777	19474	352	257
L1MA6	sense	L1	30480	24331	29624	35584	251	195
L1MA7	antisense	L1	61451	55292	24164	29439	334	193
L1MA7	sense	L1	33300	26776	27060	33830	270	182
L1MA8	antisense	L1	57664	52124	24926	30144	519	318
L1MA8	sense	L1	43331	34356	46138	57604	628	447
L1MA9	antisense	L1	79419	70214	35543	43745	572	321
L1MA9	sense	L1	71051	56727	78181	96343	531	429
L1MB1	antisense	L1	38371	36127	16509	19237	342	218
L1MB1	sense	L1	26575	21195	21606	26648	332	221
L1MB2	antisense	L1	104771	93879	38535	46720	2925	1658
L1MB2	sense	L1	51202	39939	46682	59441	674	395
L1MB3	antisense	L1	168820	137886	46380	59059	1689	1058
L1MB3	sense	L1	95551	71242	73199	95767	1559	938
L1MB4	antisense	L1	84705	73335	24590	32126	764	418
L1MB4	sense	L1	46696	35999	40703	51845	560	377
L1MB5	antisense	L1	84464	69908	24708	31417	1128	672
L1MB5	sense	L1	45944	34078	30146	39312	731	466
L1MB7	antisense	L1	231768	194117	73349	95646	2387	1452
L1MB7	sense	L1	146420	114055	121374	154825	2259	1385
L1MB8	antisense	L1	149826	125724	54899	69262	1322	838
L1MB8	sense	L1	109092	85557	89949	116653	1001	750
L1MC	antisense	L1	28502	26476	14573	18225	713	448
L1MC	sense	L1	26988	22316	32828	40059	420	286
L1MC1	antisense	L1	140025	120472	51523	62525	713	469
L1MC1	sense	L1	86876	67180	73971	92337	599	360
L1MC2	antisense	L1	54988	48569	25405	31321	276	195
L1MC2	sense	L1	38969	31691	43740	53652	281	203
L1MC3	antisense	L1	120825	100775	41644	51454	1124	719
L1MC3	sense	L1	77223	58561	57545	71764	2650	1635
L1MC4	antisense	L1	254444	211965	104734	132018	2593	1505
L1MC4	sense	L1	128100	100261	127062	165701	3213	1811
L1MC4a	antisense	L1	92260	79704	37889	46888	908	515
L1MC4a	sense	L1	58438	46148	52571	68657	811	535
L1MC5	antisense	L1	136264	116795	59142	75991	2428	1323
L1MC5	sense	L1	59259	47959	47461	60272	1477	833
L1MC5a	antisense	L1	140256	120434	59611	75872	1744	1096
L1MC5a	sense	L1	77344	64441	60032	76491	1667	978
L1MCa	antisense	L1	56637	51931	20431	24595	301	206
L1MCa	sense	L1	37927	30628	46332	57570	308	203
L1MCb	antisense	L1	10525	9108	3922	4489	150	55
L1MCb	sense	L1	18278	14566	18841	21125	58	51
L1MCc	antisense	L1	33799	27242	8632	10624	149	73
L1MCc	sense	L1	12748	9106	12920	16555	118	111
L1MD	antisense	L1	31713	30597	16371	20151	432	301
L1MD	sense	L1	36484	30098	41116	52183	702	438
L1MD1	antisense	L1	61304	53384	22651	28034	603	361
L1MD1	sense	L1	38952	31550	31457	40126	9005	4473
L1MD2	antisense	L1	79546	66168	32807	40363	722	472
L1MD2	sense	L1	57256	45114	43145	56603	700	447
L1MD3	antisense	L1	39052	32922	12759	16572	256	167
L1MD3	sense	L1	27383	21054	27514	34220	730	399
L1MDa	antisense	L1	57513	50243	16485	20981	304	172
L1MDa	sense	L1	54824	41881	51833	67418	636	425
L1MDb	antisense	L1	7801	5933	2014	2665	572	326
L1MDb	sense	L1	8047	6241	4966	5953	1469	752
L1ME1	antisense	L1	245981	219999	95599	117824	1943	1296
L1ME1	sense	L1	158741	130121	143573	180852	3508	2128
L1ME2	antisense	L1	77342	68250	34199	42610	917	608
L1ME2	sense	L1	64871	52512	59092	72691	537	386
L1ME2z	antisense	L1	55403	47590	24676	31397	735	462
L1ME2z	sense	L1	22641	18860	18000	23371	389	217
L1ME3	antisense	L1	54215	46448	24389	30518	637	348
L1ME3	sense	L1	40900	31630	35157	45323	619	338
L1ME3A	antisense	L1	110184	92943	46594	58285	1104	599
L1ME3A	sense	L1	64981	51560	53874	67310	962	576
L1ME3B	antisense	L1	55247	47765	22165	27809	723	422
