subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MA5	sense	L1	320	479.5937	132.8637	132.0815	1.8245	1.8627	1.8436	yes
L1PA2	sense	L1	898	5942.9354	1689.4312	1381.8795	2.0198	1.6471	1.8335	yes
L1MA10	sense	L1	223	219.2757	66.3562	165.1765	1.3115	2.3328	1.8222	yes
L1P2	antisense	L1	237	2640.1959	770.6182	8164.1337	1.4374	2.2024	1.8199	yes
L1MB2	antisense	L1	2069	10416.6676	2974.9040	17624.7833	2.0394	1.5962	1.8178	yes
L1ME3	antisense	L1	1594	7766.5025	2207.3846	9679.6891	1.8055	1.8239	1.8147	yes
L1ME3Cz	antisense	L1	2040	8935.8954	2610.2547	10562.6126	2.0654	1.5268	1.7961	yes
L1MB1	sense	L1	293	482.1821	142.3885	89.9161	1.4435	2.1465	1.7950	yes
L1ME3A	antisense	L1	2720	15990.1444	4639.6454	19617.7570	1.7429	1.8304	1.7867	yes
L1MEg	sense	L1	953	1391.1623	405.3491	490.8630	1.8451	1.7093	1.7772	yes
L1M5	antisense	L1	8241	29547.0318	8721.5304	33707.1487	1.8615	1.6609	1.7612	yes
L1M4b	antisense	L1	639	3730.0341	1105.0000	5782.6862	1.6888	1.8260	1.7574	yes
L1MC3	antisense	L1	1899	12016.4103	3627.8532	19548.3127	1.9466	1.5292	1.7379	yes
L1ME3B	antisense	L1	1495	7076.9143	2123.0522	9704.4554	1.8236	1.6507	1.7372	yes
AluYa8	antisense	Alu	37	70.6072	21.1965	122.1462	2.0053	1.4677	1.7365	yes
L1MD1	antisense	L1	1161	6776.4885	2043.4823	10934.1354	1.9044	1.5671	1.7357	yes
L1M4a1	sense	L1	204	252.3463	80.7946	89.8662	1.1413	2.2793	1.7103	yes
L1M	sense	L1	34	12.2917	7.6803	7.6800	-0.4646	3.8805	1.7079	NO
L1M7	antisense	L1	499	2226.6536	684.5927	2994.8139	1.8314	1.5690	1.7002	yes
L1ME2	antisense	L1	2192	11400.1045	3534.7819	14356.3212	1.8105	1.5719	1.6912	yes
L1MB4	antisense	L1	1967	8483.1484	2648.6711	15619.2958	1.7179	1.6409	1.6794	yes
L1ME4c	antisense	L1	1661	6023.5588	1899.7179	5995.2517	1.7481	1.5834	1.6657	yes
L1ME3G	antisense	L1	3118	12313.3729	3893.7466	14201.0380	1.7442	1.5794	1.6618	yes
L1MB3	antisense	L1	3493	15947.2803	5060.3257	30650.1565	1.7945	1.5266	1.6606	yes
L1MA4	sense	L1	714	1391.6534	448.8156	607.7629	1.8778	1.4130	1.6454	yes
L1MD	sense	L1	404	655.5748	214.5806	353.2995	1.3880	1.8729	1.6304	yes
L1PA12	antisense	L1	220	1394.8986	458.4917	2506.9840	1.8995	1.3535	1.6265	yes
L1MB5	antisense	L1	1981	8022.1578	2663.7293	15054.7811	1.5803	1.6004	1.5904	yes
L1MB8	antisense	L1	3583	17669.7330	5976.5380	26643.0451	1.7528	1.3913	1.5720	yes
L1ME2z	antisense	L1	1651	9038.8110	3058.3141	10622.4738	1.7099	1.4246	1.5672	yes
L1ME4a	antisense	L1	6422	24683.7226	8339.8420	20051.3690	1.6122	1.5196	1.5659	yes
L1ME3F	sense	L1	295	426.9231	146.3799	136.6227	1.7572	1.3329	1.5451	yes
L1ME3A	sense	L1	1140	1707.8344	597.5085	466.1166	1.2766	1.8134	1.5450	yes
L1MC5	antisense	L1	3753	20384.4662	7046.6888	25276.2620	1.5673	1.4981	1.5327	yes
L1MC1	sense	L1	1001	1590.6019	559.1069	735.5493	1.3602	1.6851	1.5226	yes
L1PBa	sense	L1	151	446.1418	210.2719	426.8164	2.6650	0.3512	1.5081	yes
L1MC4	antisense	L1	5866	34520.2569	12214.2661	45475.5289	1.4890	1.5091	1.4990	yes
