subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1MA6	antisense	L1	23973	21489	9492	11529	102	102
L1MA6	sense	L1	408	368	737	829	20	15
L1MA7	antisense	L1	47850	42803	17953	22044	130	81
L1MA7	sense	L1	327	300	971	1235	20	13
L1MA8	antisense	L1	36936	33516	16918	20207	209	126
L1MA8	sense	L1	1498	1250	1945	2285	35	25
L1MA9	antisense	L1	58207	51585	24120	30016	269	164
L1MA9	sense	L1	1686	1417	2216	2744	101	77
L1MB1	antisense	L1	27236	25528	10946	12943	137	71
L1MB1	sense	L1	412	316	1066	1405	23	8
L1MB2	antisense	L1	74854	66718	23738	29418	340	247
L1MB2	sense	L1	1419	1175	1907	2467	141	83
L1MB3	antisense	L1	135611	111625	35642	45959	605	405
L1MB3	sense	L1	2821	2181	3925	4682	270	138
L1MB4	antisense	L1	67082	58523	18773	24694	336	201
L1MB4	sense	L1	1567	1111	1731	2099	43	24
L1MB5	antisense	L1	66239	55128	17979	23054	354	193
L1MB5	sense	L1	1591	1416	1813	2141	88	35
L1MB7	antisense	L1	172717	145505	51932	67567	1116	710
L1MB7	sense	L1	5289	3846	5437	6856	221	101
L1MB8	antisense	L1	116088	98483	39717	50626	694	490
L1MB8	sense	L1	2291	1696	3068	4156	106	84
L1MC	antisense	L1	21161	19562	10215	13038	261	158
L1MC	sense	L1	392	316	579	723	17	10
L1MC1	antisense	L1	107287	91167	36087	44861	398	264
L1MC1	sense	L1	3248	2684	3665	4439	84	35
L1MC2	antisense	L1	40695	35218	17667	21512	159	122
L1MC2	sense	L1	2019	1599	2526	2845	49	13
L1MC3	antisense	L1	86191	71436	27168	34220	415	301
L1MC3	sense	L1	1151	1006	1958	2260	75	56
L1MC4	antisense	L1	200350	166310	77786	98650	1632	880
L1MC4	sense	L1	3127	2393	6060	7286	223	122
L1MC4a	antisense	L1	74155	64205	29371	36291	396	233
L1MC4a	sense	L1	855	753	2411	3202	57	42
L1MC5	antisense	L1	109055	94303	45140	59299	897	533
L1MC5	sense	L1	1482	1401	3691	4352	123	61
L1MC5a	antisense	L1	110590	96029	45260	58060	928	582
L1MC5a	sense	L1	1335	1068	2772	3559	121	64
L1MCa	antisense	L1	39457	36581	13561	16392	135	103
L1MCa	sense	L1	1943	1753	3038	3615	27	28
L1MCb	antisense	L1	7372	6390	2591	2858	12	3
L1MCb	sense	L1	823	525	985	1277	13	7
L1MCc	antisense	L1	27846	23135	5851	7133	64	27
L1MCc	sense	L1	981	809	1062	1188	16	9
L1MD	antisense	L1	24113	23663	11936	14551	134	125
L1MD	sense	L1	1716	1163	1470	1883	33	13
L1MD1	antisense	L1	47298	40695	15261	19377	240	166
L1MD1	sense	L1	735	639	994	1377	45	14
L1MD2	antisense	L1	64037	53826	25993	31544	321	209
L1MD2	sense	L1	801	709	1317	1662	62	31
L1MD3	antisense	L1	28286	24060	8502	11041	127	69
L1MD3	sense	L1	295	293	468	700	31	12
L1MDa	antisense	L1	42907	37580	9672	12735	153	69
L1MDa	sense	L1	3578	2766	2727	3410	31	23
L1MDb	antisense	L1	6122	4872	1444	1997	12	5
L1MDb	sense	L1	162	154	125	133	3	0
L1ME1	antisense	L1	200808	178678	75666	93447	1018	612
L1ME1	sense	L1	2929	2375	5217	6611	1390	713
L1ME2	antisense	L1	60821	54468	25795	32438	433	277
L1ME2	sense	L1	1031	767	1413	1730	60	27
L1ME2z	antisense	L1	45898	39577	20390	25801	367	244
L1ME2z	sense	L1	311	327	888	1240	42	21
L1ME3	antisense	L1	42266	35707	17514	22177	295	159
L1ME3	sense	L1	1915	1211	1761	2218	74	21
L1ME3A	antisense	L1	85281	72674	36264	45389	638	324
