level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1M3a	L1	614	277	191.56	2.2166	0.16968	0.38426	-0.1096	0.036042	0.23943	0.030286	-0.90424	0.09066	-0.93326	0.082034	0.20961	0.054674	0.51657	0.052353	0.074359	0.033504	0.27133	0.030821	-1.1139	0.1365	-1.4498	0.12538
subfamily	L1M3b	L1	583	281	209.42	2.0747	0.11388	0.3784	-0.38871	0.029839	0.0060289	0.02198	0.017369	0.064528	-0.091232	0.054306	-0.21735	0.037074	0.12054	0.03313	-0.2001	0.021723	0.028848	0.01738	0.23472	0.095	-0.21177	0.079849
subfamily	L1M3c	L1	1018	482	327.95	2.112	0.13693	0.38182	-0.3313	0.029382	0.02962	0.01715	-0.039168	0.054812	-0.10858	0.042138	-0.22284	0.028442	0.10203	0.025128	-0.17581	0.018511	0.039058	0.013738	0.18368	0.078423	-0.21061	0.061929
subfamily	L1M3d	L1	474	274	185.99	1.7299	0.091241	0.37465	-0.38474	0.030764	0.03237	0.021595	0.019045	0.069402	-0.13132	0.0553	-0.27272	0.038072	0.084898	0.032578	-0.21875	0.024013	0.029773	0.017568	0.29177	0.10352	-0.21622	0.083084
subfamily	L1M3de	L1	443	194	139.68	2.2835	0.12371	0.38355	-0.34977	0.033954	0.0033816	0.028501	-0.266	0.086809	-0.30492	0.072557	-0.048271	0.057136	0.26304	0.052863	-0.091316	0.032769	0.11034	0.027723	-0.21773	0.13577	-0.56796	0.11661
subfamily	L1M3e	L1	769	412	278.81	1.8665	0.17718	0.38323	-0.335	0.025874	0.019532	0.019754	-0.061128	0.063907	-0.1125	0.054751	-0.20755	0.035122	0.10705	0.033283	-0.17144	0.021145	0.033652	0.017532	0.14642	0.09284	-0.21955	0.081497
subfamily	L1M3f	L1	676	310	195.12	2.1806	0.093548	0.38819	-0.27192	0.033076	0.040955	0.020109	-0.13413	0.071298	-0.11648	0.055035	-0.27363	0.044774	0.013845	0.037842	-0.168	0.028392	0.010143	0.020474	0.1395	0.11055	-0.13032	0.085888
subfamily	L1M4	L1	20663	10157	6353.1	2.0344	0.0828	0.40541	-0.030725	0.0084102	0.12563	0.0047969	-0.52142	0.012618	-0.29921	0.0097353	-0.10884	0.0065698	0.10112	0.0059483	-0.036617	0.0043693	0.060429	0.0031085	-0.41258	0.017808	-0.40033	0.014143
subfamily	L1M4a1	L1	2530	1334	886.31	1.8966	0.10345	0.3912	-0.18457	0.021382	0.094418	0.011694	-0.25575	0.033389	-0.2112	0.024342	-0.21782	0.016684	0.062116	0.014761	-0.12815	0.011164	0.040438	0.0077465	-0.037934	0.045925	-0.27332	0.034163
subfamily	L1M4a2	L1	2041	1147	731.72	1.7794	0.086312	0.39035	-0.15714	0.022287	0.12803	0.014653	-0.33017	0.038761	-0.28534	0.030065	-0.21428	0.016873	0.06747	0.014814	-0.12258	0.011826	0.04787	0.0082664	-0.11589	0.051606	-0.35281	0.04004
subfamily	L1M4b	L1	4282	1613	1014.7	2.6547	0.10725	0.39052	-0.21058	0.017401	0.073387	0.01044	-0.27157	0.030831	-0.22663	0.025222	-0.16539	0.015815	0.11537	0.014341	-0.1117	0.01093	0.058036	0.0078878	-0.10618	0.04373	-0.342	0.036299
subfamily	L1M4c	L1	3415	1278	824.24	2.6721	0.08529	0.39114	-0.14771	0.020484	0.13446	0.01343	-0.52309	0.036687	-0.47237	0.031238	-0.075939	0.020367	0.20203	0.020269	-0.056084	0.011985	0.11084	0.010445	-0.44715	0.052613	-0.6744	0.047376
subfamily	L1M5	L1	54255	30509	20714	1.7783	0.088072	0.40081	-0.11788	0.0040603	0.077411	0.0023217	-0.33329	0.0068304	-0.16323	0.0051758	-0.19145	0.0034127	0.039942	0.0029747	-0.090058	0.002315	0.028969	0.0015816	-0.14184	0.0095444	-0.20317	0.0073152
subfamily	L1M6	L1	5619	3016	2083.6	1.8631	0.1061	0.3892	-0.28777	0.009424	0.012373	0.0057605	-0.04299	0.019442	-0.011246	0.015079	-0.28313	0.0095452	0.0019356	0.00817	-0.17754	0.0064193	-0.0031013	0.004464	0.24014	0.027005	-0.013182	0.020823
subfamily	L1M6B	L1	627	498	351.95	1.259	0.13052	0.39993	-0.16245	0.022005	0.046446	0.014216	-0.28976	0.046104	-0.10966	0.035882	-0.2024	0.022167	0.025388	0.01921	-0.10443	0.014408	0.012329	0.0098786	-0.087358	0.06397	-0.13505	0.049882
subfamily	L1M7	L1	3240	1656	1136.3	1.9565	0.095411	0.39121	-0.23529	0.01393	0.045988	0.0089747	-0.15976	0.027285	-0.10121	0.02189	-0.24614	0.014022	0.029009	0.012383	-0.14478	0.0091137	0.019381	0.0067468	0.086378	0.038557	-0.13022	0.031064
subfamily	L1M8	L1	1690	924	626.34	1.829	0.087662	0.38932	-0.22901	0.020221	0.061876	0.012409	-0.21848	0.039846	-0.18329	0.031024	-0.24087	0.019342	0.044851	0.016553	-0.15013	0.013194	0.024886	0.0090496	0.022389	0.055137	-0.22814	0.042583
subfamily	L1MA1	L1	4195	2712	1894.5	1.5468	0.17588	0.38238	-0.37797	0.0099613	-0.021231	0.0060205	0.10347	0.01992	0.039891	0.016092	-0.30045	0.010582	0.021092	0.0098484	-0.22102	0.0068576	-0.0095663	0.0053443	0.40392	0.028362	0.0188	0.023677
subfamily	L1MA10	L1	4902	3597	2568.9	1.3628	0.077565	0.3902	-0.27432	0.0093005	0.011959	0.0052598	-0.065468	0.019081	-0.023455	0.014894	-0.2508	0.010698	0.031474	0.0094764	-0.16345	0.0068399	0.0079892	0.0049624	0.18534	0.028118	-0.054929	0.022477
subfamily	L1MA2	L1	7465	4356	2894.4	1.7137	0.16368	0.38585	-0.30915	0.0083253	0.019343	0.0056002	-0.073498	0.017007	-0.087409	0.014269	-0.25852	0.0090686	0.043832	0.0084831	-0.17967	0.0058752	0.012361	0.0047346	0.18502	0.024079	-0.13124	0.02059
subfamily	L1MA3	L1	8800	4920	3200	1.7886	0.10305	0.38547	-0.31071	0.0086068	0.019963	0.0055183	-0.047801	0.016854	-0.064089	0.01303	-0.28122	0.0083186	0.022242	0.0075703	-0.18498	0.0055197	0.008467	0.0041834	0.23342	0.023314	-0.086331	0.018514
subfamily	L1MA4	L1	9840	5948	3905.5	1.6543	0.081036	0.38651	-0.28882	0.0078411	0.030488	0.0049746	-0.09077	0.015418	-0.09054	0.012465	-0.25732	0.0080977	0.041515	0.0073999	-0.16755	0.0051667	0.020891	0.0039304	0.16655	0.021927	-0.13205	0.018104
subfamily	L1MA4A	L1	6086	3246	2075.3	1.8749	0.096426	0.38845	-0.28755	0.01046	0.019685	0.0068066	-0.040202	0.020081	-0.020679	0.016	-0.28377	0.0096065	0.0056742	0.0084938	-0.18067	0.00656	-0.0017569	0.0046742	0.24357	0.027535	-0.026354	0.021978
subfamily	L1MA5	L1	4373	2545	1634.9	1.7183	0.086051	0.38828	-0.25876	0.011782	0.046651	0.0074389	-0.15608	0.024157	-0.13276	0.019415	-0.24178	0.012271	0.047558	0.011021	-0.14899	0.0078289	0.029855	0.005728	0.085701	0.034169	-0.18032	0.027891
subfamily	L1MA5A	L1	3375	2200	1522.6	1.5341	0.092273	0.39345	-0.23424	0.011862	0.028291	0.007385	-0.16154	0.023437	-0.071402	0.019183	-0.24561	0.012542	0.017274	0.011411	-0.13802	0.0082084	0.01407	0.0062527	0.084074	0.033584	-0.088676	0.02793
subfamily	L1MA6	L1	5351	3106	2060.4	1.7228	0.086607	0.38219	-0.35712	0.0091448	-0.0026906	0.0062513	-0.020441	0.022114	-0.075303	0.019286	-0.22842	0.013588	0.091999	0.012953	-0.16917	0.008368	0.041308	0.0072426	0.20798	0.033699	-0.1673	0.030219
subfamily	L1MA7	L1	8421	5311	3712.2	1.5856	0.09245	0.38801	-0.27771	0.0081927	0.028443	0.0051048	-0.091605	0.016061	-0.073882	0.012626	-0.23804	0.0084492	0.053941	0.0074364	-0.15976	0.0055583	0.021691	0.0040416	0.14643	0.022961	-0.12782	0.018244
subfamily	L1MA8	L1	10812	6578	4392.7	1.6437	0.079051	0.38878	-0.27349	0.0076363	0.025302	0.0047455	-0.08749	0.015042	-0.059737	0.012064	-0.24686	0.0079544	0.041042	0.0071285	-0.15866	0.0050803	0.018816	0.003739	0.15937	0.021752	-0.10078	0.017804
subfamily	L1MA9	L1	16113	8857	5923.9	1.8192	0.082308	0.38681	-0.3114	0.0060227	0.0065092	0.0040168	-0.048543	0.012646	-0.043525	0.010478	-0.24393	0.0070578	0.052872	0.0065239	-0.16616	0.0044255	0.020324	0.0035034	0.19538	0.018404	-0.096397	0.015598
subfamily	L1MB1	L1	5996	3320	2212.4	1.806	0.084639	0.38345	-0.35448	0.009008	-0.010325	0.0057875	0.051641	0.019745	0.0098793	0.016395	-0.2689	0.011506	0.046126	0.010704	-0.19304	0.0075053	0.012165	0.0062309	0.32054	0.029177	-0.036247	0.024896
subfamily	L1MB2	L1	8811	4773	2654.1	1.846	0.079195	0.4081	-0.042297	0.010614	0.093721	0.0078693	-0.63959	0.021342	-0.36817	0.022894	-0.03727	0.015643	0.1539	0.016687	0.017763	0.008695	0.096479	0.009239	-0.60232	0.034806	-0.52207	0.037742
subfamily	L1MB3	L1	17116	9819	6218.1	1.7432	0.08952	0.42563	0.092773	0.0077702	0.073526	0.0044173	-0.65399	0.011595	-0.19012	0.0090253	-0.07798	0.0060138	0.036426	0.0051958	0.035619	0.0041393	0.034451	0.0028154	-0.57601	0.016421	-0.22654	0.012784
subfamily	L1MB4	L1	8844	5025	3131.2	1.76	0.086965	0.41289	0.021769	0.011051	0.11586	0.0070808	-0.63556	0.017044	-0.30227	0.01434	-0.097756	0.0085283	0.070093	0.0081079	0.002233	0.005454	0.056911	0.0042853	-0.53781	0.023452	-0.37237	0.020182
subfamily	L1MB5	L1	9725	5181	3246.3	1.8771	0.084347	0.4269	0.15227	0.01138	0.12189	0.0065204	-0.72587	0.016429	-0.26317	0.012682	-0.045087	0.0084039	0.068744	0.0074337	0.051379	0.0057037	0.048556	0.0038062	-0.68078	0.023006	-0.33192	0.017984
subfamily	L1MB7	L1	22769	11324	7061.4	2.0107	0.082745	0.41501	0.044285	0.0072115	0.11785	0.0041909	-0.59	0.010948	-0.25178	0.0086733	-0.14383	0.0052297	0.020707	0.0045857	-0.017016	0.0036935	0.032965	0.0024833	-0.44617	0.014855	-0.27249	0.011672
subfamily	L1MB8	L1	16306	8701	5300.8	1.874	0.083669	0.40976	-0.019857	0.0082364	0.10015	0.0047434	-0.4949	0.013118	-0.2129	0.010392	-0.16359	0.0064259	0.023454	0.0056194	-0.046028	0.0044569	0.027635	0.0030046	-0.33131	0.018248	-0.23636	0.014476
subfamily	L1MC	L1	8076	6004	4271.8	1.3451	0.085276	0.39956	-0.13587	0.010765	0.068995	0.0058994	-0.32385	0.016107	-0.1689	0.011332	-0.16529	0.0082014	0.071819	0.0070408	-0.082769	0.0059011	0.04244	0.0038206	-0.15856	0.022816	-0.24072	0.016594
subfamily	L1MC1	L1	12868	6993	3256.5	1.8401	0.084084	0.39592	-0.20124	0.0083742	0.037167	0.0050276	-0.18375	0.015749	-0.067227	0.011292	-0.25185	0.0069067	0.0012278	0.0064195	-0.13727	0.0047306	0.0042088	0.0031918	0.068095	0.020231	-0.068454	0.014884
