level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	L1M8	L1	1690	924	626.34	1.829	0.087662	0.38932	-0.22901	0.020221	0.056851	0.012729	-0.21848	0.039846	-0.17983	0.031205	-0.24087	0.019342	0.042753	0.016548	-0.15013	0.013194	0.0225	0.0090989	0.022389	0.055137	-0.22258	0.042803
subfamily	L1MA1	L1	4195	2712	1894.5	1.5468	0.17588	0.38238	-0.37797	0.0099613	-0.024266	0.0061707	0.10347	0.01992	0.042366	0.016141	-0.30045	0.010582	0.020212	0.0098445	-0.22102	0.0068576	-0.01066	0.0053439	0.40392	0.028362	0.022153	0.023711
subfamily	L1MA10	L1	4902	3597	2568.9	1.3628	0.077565	0.3902	-0.27432	0.0093005	0.0063125	0.0053263	-0.065468	0.019081	-0.019423	0.014892	-0.2508	0.010698	0.02913	0.0094452	-0.16345	0.0068399	0.0052908	0.0049653	0.18534	0.028118	-0.048553	0.022436
subfamily	L1MA2	L1	7465	4356	2894.4	1.7137	0.16368	0.38585	-0.30915	0.0083253	0.017215	0.0057241	-0.073498	0.017007	-0.085287	0.014383	-0.25852	0.0090686	0.043125	0.008504	-0.17967	0.0058752	0.011578	0.0047706	0.18502	0.024079	-0.12841	0.020735
subfamily	L1MA3	L1	8800	4920	3200	1.7886	0.10305	0.38547	-0.31071	0.0086068	0.016449	0.0055976	-0.047801	0.016854	-0.061525	0.013066	-0.28122	0.0083186	0.021332	0.0075564	-0.18498	0.0055197	0.0073289	0.004175	0.23342	0.023314	-0.082857	0.018535
subfamily	L1MA4	L1	9840	5948	3905.5	1.6543	0.081036	0.38651	-0.28882	0.0078411	0.025828	0.0050464	-0.09077	0.015418	-0.086503	0.012556	-0.25732	0.0080977	0.038996	0.0074269	-0.16755	0.0051667	0.018353	0.0039696	0.16655	0.021927	-0.1255	0.018228
subfamily	L1MA4A	L1	6086	3246	2075.3	1.8749	0.096426	0.38845	-0.28755	0.01046	0.017204	0.0069667	-0.040202	0.020081	-0.018782	0.016177	-0.28377	0.0096065	0.0049956	0.008584	-0.18067	0.00656	-0.0025611	0.0047709	0.24357	0.027535	-0.023778	0.022268
subfamily	L1MA5	L1	4373	2545	1634.9	1.7183	0.086051	0.38828	-0.25876	0.011782	0.043666	0.007508	-0.15608	0.024157	-0.13069	0.019476	-0.24178	0.012271	0.046753	0.011122	-0.14899	0.0078289	0.028818	0.0058192	0.085701	0.034169	-0.17744	0.028089
subfamily	L1MA5A	L1	3375	2200	1522.6	1.5341	0.092273	0.39345	-0.23424	0.011862	0.023045	0.0074036	-0.16154	0.023437	-0.067691	0.019255	-0.24561	0.012542	0.015505	0.011444	-0.13802	0.0082084	0.012128	0.0062864	0.084074	0.033584	-0.083196	0.028036
subfamily	L1MA6	L1	5351	3106	2060.4	1.7228	0.086607	0.38219	-0.35712	0.0091448	-0.006913	0.0063638	-0.020441	0.022114	-0.071907	0.019321	-0.22842	0.013588	0.08998	0.012955	-0.16917	0.008368	0.03919	0.0072502	0.20798	0.033699	-0.16189	0.030257
subfamily	L1MA7	L1	8421	5311	3712.2	1.5856	0.09245	0.38801	-0.27771	0.0081927	0.023736	0.0052091	-0.091605	0.016061	-0.070807	0.012715	-0.23804	0.0084492	0.051834	0.0074568	-0.15976	0.0055583	0.019468	0.0040734	0.14643	0.022961	-0.12264	0.018356
