level	name	family	n_copies	n_bins	n_eff	copies_per_bin	top_chrom_frac	gc_mean	speckle_mean	speckle_se	speckle_resid	speckle_resid_se	lamina_mean	lamina_se	lamina_resid	lamina_resid_se	nucleolus_MKI67IP_mean	nucleolus_MKI67IP_se	nucleolus_MKI67IP_resid	nucleolus_MKI67IP_resid_se	nucleolus_POL1RE_mean	nucleolus_POL1RE_se	nucleolus_POL1RE_resid	nucleolus_POL1RE_resid_se	lam_minus_nuc	lam_minus_nuc_se	lam_minus_nuc_resid	lam_minus_nuc_resid_se
subfamily	AluYk11	Alu	1212	1186	1160.3	1.0219	0.088533	0.4294	0.2012	0.019074	0.078097	0.013067	-0.72767	0.027316	-0.14329	0.022128	-0.07653	0.013651	0.074599	0.013171	0.047587	0.0094821	0.039879	0.0082523	-0.65114	0.038059	-0.21789	0.033244
subfamily	AluYk12	Alu	200	194	188.68	1.0309	0.082474	0.41489	0.042123	0.048726	0.052963	0.031116	-0.49002	0.072617	-0.10938	0.053265	-0.11438	0.034842	0.071157	0.033877	-0.014771	0.024676	0.032178	0.020848	-0.37564	0.10155	-0.18054	0.082589
subfamily	AluYk2	Alu	755	739	722.47	1.0217	0.081191	0.42209	0.062119	0.024109	0.039849	0.015799	-0.52529	0.036222	-0.087194	0.027775	-0.12382	0.017212	0.053911	0.016692	0.0029852	0.0121	0.036344	0.010363	-0.40147	0.049609	-0.1411	0.041853
subfamily	AluYk3	Alu	1123	1104	1086.2	1.0172	0.083333	0.41826	0.035088	0.019819	0.043136	0.011949	-0.47257	0.030184	-0.081037	0.022009	-0.1332	0.01423	0.049077	0.013651	-0.017177	0.01034	0.027767	0.008826	-0.33938	0.04133	-0.13011	0.03367
subfamily	AluYk4	Alu	993	980	965.77	1.0133	0.091837	0.41425	-0.013079	0.019865	0.019544	0.012373	-0.42836	0.031763	-0.065022	0.023897	-0.16555	0.015833	0.027047	0.015265	-0.049904	0.011188	0.0053293	0.0095292	-0.26281	0.044609	-0.092069	0.037142
subfamily	AluYm1	Alu	4576	4384	4204.8	1.0438	0.081432	0.41834	0.047073	0.010091	0.035976	0.0064085	-0.49575	0.015554	-0.079692	0.011814	-0.12863	0.0075767	0.0469	0.0072596	-0.010471	0.0052789	0.026521	0.0044528	-0.36712	0.021699	-0.12659	0.018127
subfamily	L1HS	L1	1522	1264	1115.8	1.2041	0.096519	0.38527	-0.38638	0.0096047	-0.063739	0.0084298	0.12837	0.023614	0.07635	0.021219	-0.25068	0.015393	-0.0040839	0.014854	-0.18778	0.0091081	-0.022594	0.0087744	0.37905	0.036461	0.080434	0.034479
subfamily	L1M	L1	716	653	603.12	1.0965	0.081164	0.40666	-0.079126	0.025463	0.028686	0.017676	-0.35416	0.040243	-0.072641	0.030407	-0.20495	0.019378	0.00065767	0.018209	-0.076019	0.013588	0.0048567	0.01174	-0.14921	0.055445	-0.073299	0.045996
subfamily	L1M1	L1	9193	4714	3082.7	1.9501	0.16398	0.38398	-0.33316	0.0089157	-0.074623	0.0060057	-0.022729	0.017812	0.018305	0.013857	-0.26535	0.0092901	-0.027447	0.0089016	-0.19404	0.0059167	-0.051486	0.0052172	0.24262	0.025336	0.045751	0.021671
subfamily	L1M2	L1	8911	5325	3509.7	1.6734	0.092207	0.38796	-0.2768	0.0083817	-0.037994	0.006374	-0.11496	0.017043	-0.036385	0.014018	-0.2245	0.0089874	0.0090879	0.0088992	-0.15669	0.0056467	-0.023204	0.0052238	0.10954	0.024277	-0.045473	0.021854
