subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1PBa1	antisense	L1	0	0	4	7	0	0
L1PBa1	sense	L1	408	250	167	204	4	13
L1PBb	antisense	L1	0	0	12	0	0	0
L1PBb	sense	L1	540	380	71	134	0	0
L1PREC2	antisense	L1	44	34	19	33	2	2
L1PREC2	sense	L1	1251	925	1038	1438	11	2
SVA_A	antisense	SVA	71	32	83	83	2	2
SVA_A	sense	SVA	2025	1281	1221	1770	143	97
SVA_B	antisense	SVA	831	513	125	154	26	16
SVA_B	sense	SVA	570	343	231	245	44	36
SVA_C	antisense	SVA	120	47	24	44	3	9
SVA_C	sense	SVA	463	266	53	65	71	55
SVA_D	antisense	SVA	1641	961	549	571	102	41
SVA_D	sense	SVA	4527	2935	848	1180	511	258
SVA_E	antisense	SVA	140	96	79	72	3	2
SVA_E	sense	SVA	330	198	88	95	9	9
SVA_F	antisense	SVA	809	523	86	197	36	16
SVA_F	sense	SVA	931	589	251	381	192	129
