subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1ME4c	antisense	L1	16	13.7736	11.5205	4.0281	-0.9138	4.0693	1.5777	NO
L1PBa	antisense	L1	4	1.9888	0.0000	2.2809	1.7056	1.4415	1.5735	yes
L1MEg	sense	L1	70	2801.0170	963.3825	1393.0185	1.4741	1.6165	1.5453	yes
L1PA13	sense	L1	41	601.5664	207.0515	555.8733	1.6694	1.4156	1.5425	yes
L1M4a2	antisense	L1	4	7.5574	3.8402	0.2769	0.1444	2.9109	1.5276	yes
L1MA5A	antisense	L1	5	2.1525	0.0000	0.0000	2.2075	0.7539	1.4807	yes
L1P2	sense	L1	15	811.6483	321.9391	290.9767	2.0874	0.8631	1.4752	yes
L1PA12	sense	L1	9	57.0985	21.1965	99.2675	1.8144	1.0652	1.4398	yes
L1M3b	antisense	L1	2	1.6456	0.0000	0.0000	1.7056	1.0212	1.3634	yes
L1M3	antisense	L1	7	6.6449	3.8402	1.3910	0.0747	2.6201	1.3474	yes
L1PBb	antisense	L1	2	2.7140	0.0000	0.0000	2.6844	0.0000	1.3422	NO
L1ME3E	sense	L1	40	857.7936	380.7662	288.0579	2.0759	0.5959	1.3359	yes
L1M8	sense	L1	17	969.9709	387.8416	484.6488	1.1664	1.4978	1.3321	yes
L1HS	sense	L1	27	575.1098	241.7642	209.5466	1.5434	0.9939	1.2686	yes
L1MA2	sense	L1	25	985.2704	418.7141	546.6589	1.2187	1.2482	1.2334	yes
AluYe5	antisense	Alu	7	11.7770	15.3606	0.6131	-1.4199	3.7759	1.1780	NO
L1MA1	antisense	L1	9	6.0992	3.8402	1.1141	-0.9103	3.2600	1.1749	NO
L1P1	antisense	L1	15	10.9190	13.5162	20.8311	3.5675	-1.2262	1.1707	NO
L1PA6	antisense	L1	30	80.9483	38.5529	10.7589	1.8620	0.4744	1.1682	yes
L1MA9	antisense	L1	33	64.9445	37.4794	84.4064	0.0730	2.1893	1.1311	yes
L1MC2	sense	L1	24	411.7084	194.6088	293.5447	1.4642	0.7819	1.1230	yes
L1ME3C	antisense	L1	6	5.4049	3.8402	0.7251	-0.5387	2.7728	1.1171	NO
L1MDa	antisense	L1	21	93.1703	43.3153	51.8608	0.9437	1.2347	1.0892	yes
L1M3c	antisense	L1	2	1.2557	0.0000	0.5274	0.5384	1.6131	1.0757	yes
L1MA9	sense	L1	83	1883.7998	903.7844	1101.6217	0.9897	1.1370	1.0634	yes
L1ME2z	antisense	L1	17	6.8789	6.7581	2.0897	3.0422	-0.9487	1.0467	NO
L1MEg	antisense	L1	32	30.4795	17.3563	14.2852	1.8713	0.1545	1.0129	yes
L1PA8	antisense	L1	16	6.5436	6.7581	5.8672	2.7825	-0.8227	0.9799	NO
L1PB3	antisense	L1	4	1.0762	0.0000	0.3361	1.4902	0.4257	0.9579	yes
L1PA3	antisense	L1	69	119.5940	64.5118	157.3452	0.9474	0.8164	0.8819	yes
L1ME5	sense	L1	15	100.3681	53.9135	63.5603	1.0299	0.7234	0.8767	yes
L1MDa	sense	L1	41	1765.5733	988.4044	925.4613	1.2384	0.5126	0.8755	yes
L1M7	sense	L1	9	526.9751	286.9239	226.1019	0.8545	0.8934	0.8739	yes
L1MB8	sense	L1	123	2106.6844	1160.4407	1472.8607	1.0201	0.7158	0.8680	yes
L1PA14	sense	L1	11	75.7544	61.7451	58.3268	2.2088	-0.4868	0.8610	NO
L1P4b	antisense	L1	1	0.7955	0.0000	0.2769	0.9295	0.7539	0.8417	yes
L1PA2	antisense	L1	51	186.4484	118.5765	281.6448	1.6861	-0.0226	0.8318	NO
L1MEd	antisense	L1	55	51.7172	34.7127	37.6356	1.5676	0.0483	0.8080	yes
L1PA15-16	antisense	L1	4	1.0296	0.0000	4.3578	0.0000	1.6131	0.8066	NO
L1MA10	sense	L1	27	134.1467	79.8724	114.3399	0.6456	0.8608	0.7532	yes
L1M3a	sense	L1	4	11.7303	27.0324	23.0457	3.3286	-1.8369	0.7459	NO
L1MD1	sense	L1	30	624.1789	382.4594	294.7693	0.9768	0.5077	0.7422	yes
L1MB4	sense	L1	61	942.4349	587.0615	847.6331	0.4604	0.9244	0.6924	yes
L1M2	sense	L1	43	438.2635	275.4034	361.0074	0.8288	0.5157	0.6723	yes
SVA_A	antisense	SVA	17	33.0140	21.1965	12.3860	1.2362	0.0729	0.6546	yes
AluYc3	antisense	Alu	3	0.5694	0.0000	0.7251	0.5384	0.7539	0.6461	yes
