cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	HNRNPM	L1	L1MA3	antisense	10195	28	171	875200	199	14.0567	7.761e-22	1.631e-19
K562	EXOSC5	L1	L1MB8	antisense	16207	42	304	869188	346	7.4095	9.991e-22	2.090e-19
K562	SAFB2	L1	L1PB3	sense	8005	14	15	877390	29	102.2982	1.647e-21	3.428e-19
K562	KHSRP	L1	L1MA4	antisense	41865	58	222	843530	280	5.2641	2.218e-21	4.593e-19
K562	KHDRBS1	L1	L1ME3Cz	sense	3897	16	74	881498	90	48.9079	3.042e-21	6.269e-19
K562	EXOSC5	L1	L1MEc	antisense	16207	55	569	869188	624	5.1840	3.218e-21	6.600e-19
K562	XRCC6	Alu	AluJo	antisense	5550	43	1026	879845	1069	6.6441	3.862e-21	7.883e-19
K562	EXOSC5	L1	L1MA5A	antisense	16207	23	60	869188	83	20.5583	6.850e-21	1.392e-18
K562	SAFB2	L1	L1MC4	sense	8005	27	219	877390	246	13.5130	7.001e-21	1.415e-18
K562	SAFB2	L1	L1MCa	sense	8005	14	18	877390	32	85.2485	9.762e-21	1.964e-18
K562	MATR3	L1	L1MCc	antisense	8519	19	66	876876	85	29.6319	1.095e-20	2.194e-18
K562	PTBP1	Alu	AluSg	antisense	12476	35	279	872919	314	8.7773	1.126e-20	2.244e-18
K562	SAFB2	L1	L1ME3A	sense	8005	19	73	877390	92	28.5274	1.761e-20	3.494e-18
K562	MATR3	L1	L1MA3	antisense	8519	25	174	876876	199	14.7891	2.910e-20	5.747e-18
K562	TARDBP	Alu	AluJr	antisense	9311	54	1031	876084	1085	4.9282	2.938e-20	5.775e-18
K562	MATR3	L1	L1MA2	antisense	8519	23	136	876876	159	17.4076	3.551e-20	6.948e-18
K562	SAFB2	L1	L1ME2	sense	8005	20	92	877390	112	23.8272	3.841e-20	7.481e-18
K562	MATR3	L1	L1M4	antisense	8519	35	437	876876	472	8.2440	4.191e-20	8.125e-18
K562	KHDRBS1	L1	L1ME4a	sense	3897	18	140	881498	158	29.0827	4.441e-20	8.570e-18
K562	EXOSC5	L1	L1P3	antisense	16207	17	21	869188	38	43.4151	5.759e-20	1.106e-17
K562	SAFB2	L1	L1MC2	sense	8005	17	52	877390	69	35.8325	6.776e-20	1.296e-17
K562	UPF1	Alu	AluSz	antisense	16758	62	748	868637	810	4.2964	6.972e-20	1.327e-17
K562	HNRNPC	Alu	AluSg7	antisense	1465	11	49	883930	60	135.4493	7.803e-20	1.479e-17
K562	MATR3	L1	L1PB1	antisense	8519	30	303	876876	333	10.1913	8.229e-20	1.553e-17
K562	HNRNPL	L1	L1MC5	antisense	9862	33	333	875533	366	8.7979	9.293e-20	1.746e-17
K562	SAFB2	L1	L1MA2	sense	8005	13	16	877390	29	89.0543	1.584e-19	2.963e-17
K562	EIF4G2	Alu	AluJb	antisense	6457	54	1572	878938	1626	4.6759	1.960e-19	3.650e-17
K562	HNRNPL	L1	L1ME2z	antisense	9862	24	145	875533	169	14.6944	2.340e-19	4.339e-17
K562	KHDRBS1	L1	L1MC	sense	3897	12	28	881498	40	96.9425	2.592e-19	4.784e-17
K562	UPF1	Alu	AluSx	sense	16758	43	365	868637	408	6.1065	2.665e-19	4.898e-17
K562	QKI	L1	L1MC4a	antisense	5242	22	221	880153	243	16.7144	2.739e-19	5.013e-17
K562	ILF3	Alu	AluSq2	sense	7110	24	209	878285	233	14.1850	3.082e-19	5.615e-17
K562	HNRNPM	L1	L1PREC2	antisense	10195	24	143	875200	167	14.4077	3.707e-19	6.726e-17
K562	AKAP1	Alu	AluSp	antisense	2620	17	199	882775	216	28.7836	3.991e-19	7.211e-17
K562	QKI	L1	L1MA4A	antisense	5242	23	263	880153	286	14.6836	6.115e-19	1.100e-16
K562	EXOSC5	L1	L1PB3	antisense	16207	20	48	869188	68	22.3460	6.236e-19	1.117e-16
K562	HNRNPL	L1	L1ME4b	antisense	9862	30	282	875533	312	9.4445	6.919e-19	1.232e-16
K562	QKI	L1	L1MEc	antisense	5242	31	593	880153	624	8.7774	6.934e-19	1.232e-16
K562	KHSRP	L1	L1MDa	antisense	41865	48	173	843530	221	5.5904	7.318e-19	1.295e-16
K562	UPF1	Alu	AluSx1	antisense	16758	57	675	868637	732	4.3771	9.438e-19	1.663e-16
K562	AKAP1	Alu	AluSz	antisense	2620	26	784	882775	810	11.1739	1.187e-18	2.082e-16
K562	AKAP1	Alu	AluSx1	antisense	2620	25	707	882775	732	11.9143	1.276e-18	2.230e-16
K562	ILF3	Alu	AluSp	sense	7110	22	174	878285	196	15.6185	1.436e-18	2.498e-16
K562	EXOSC5	L1	L1M3	antisense	16207	24	93	869188	117	13.8401	2.104e-18	3.646e-16
K562	AKAP1	Alu	AluSx	sense	2620	20	388	882775	408	17.3679	3.483e-18	6.010e-16
K562	SAFB2	Alu	AluJb	sense	8005	47	1033	877390	1080	4.9869	4.388e-18	7.543e-16
K562	KHSRP	L1	L1M2	antisense	41865	56	252	843530	308	4.4775	5.920e-18	1.013e-15
K562	HNRNPM	L1	L1PA17	antisense	10195	19	80	875200	99	20.3884	6.393e-18	1.090e-15
K562	KHDRBS1	L1	L1MEi	sense	3897	11	25	881498	36	99.5276	6.433e-18	1.092e-15
K562	AGGF1	Alu	AluJb	sense	8124	47	1033	877271	1080	4.9132	7.674e-18	1.298e-15
K562	SAFB2	L1	L1PREC2	sense	8005	12	16	877390	28	82.2039	7.874e-18	1.327e-15
K562	SAFB2	Alu	AluJr	sense	8005	38	671	877390	709	6.2072	8.027e-18	1.347e-15
K562	KHSRP	L1	L1M4a1	antisense	41865	31	67	843530	98	9.3226	1.116e-17	1.866e-15
K562	MATR3	Alu	AluJr	antisense	8519	48	1037	876876	1085	4.7644	1.132e-17	1.885e-15
K562	EXOSC5	L1	L1MA9	antisense	16207	30	185	869188	215	8.6968	1.154e-17	1.914e-15
K562	AKAP1	Alu	AluSz	sense	2620	19	356	882775	375	17.9826	1.295e-17	2.139e-15
K562	EXOSC5	L1	L1P1	antisense	16207	14	14	869188	28	53.6304	1.487e-17	2.437e-15
K562	EXOSC5	L1	L1PA2	antisense	16207	14	14	869188	28	53.6304	1.487e-17	2.437e-15
K562	PTBP1	L1	L1MEh	antisense	12476	16	36	872919	52	31.0968	1.535e-17	2.506e-15
K562	MATR3	L1	L1MA4A	antisense	8519	26	260	876876	286	10.2932	1.790e-17	2.912e-15
K562	UPF1	Alu	AluJr	sense	16758	54	655	868637	709	4.2734	1.951e-17	3.162e-15
K562	EXOSC5	Alu	AluSz	antisense	16207	57	753	869188	810	4.0597	2.089e-17	3.372e-15
K562	EXOSC5	L1	L1MB3	antisense	16207	41	390	869188	431	5.6381	2.184e-17	3.512e-15
K562	SAFB2	L1	L1PA13	sense	8005	15	49	877390	64	33.5526	2.290e-17	3.669e-15
K562	HNRNPM	L1	L1ME1	antisense	10195	43	703	875200	746	5.2509	2.357e-17	3.762e-15
K562	SAFB2	L1	L1MA1	sense	8005	11	12	877390	23	100.4715	4.011e-17	6.354e-15
K562	HNRNPL	L1	L1ME1	antisense	9862	42	704	875533	746	5.2964	3.999e-17	6.354e-15
K562	EXOSC5	L1	L1MB2	antisense	16207	36	301	869188	337	6.4143	4.772e-17	7.531e-15
K562	SAFB2	L1	L1ME3B	sense	8005	15	54	877390	69	30.4459	7.801e-17	1.227e-14
K562	EXOSC5	Alu	AluY	antisense	16207	33	252	869188	285	7.0230	8.530e-17	1.336e-14
K562	PTBP1	L1	L1MC4	antisense	12476	42	570	872919	612	5.1555	1.215e-16	1.896e-14
K562	HNRNPL	Alu	AluJb	sense	9862	50	1030	875533	1080	4.3096	1.255e-16	1.951e-14
K562	KHDRBS1	L1	L1MC4	sense	3897	18	228	881498	246	17.8578	1.288e-16	1.997e-14
K562	KHSRP	L1	L1MD1	antisense	41865	40	137	843530	177	5.8829	1.295e-16	1.999e-14
K562	HNRNPM	L1	L1PA14	antisense	10195	16	54	875200	70	25.4359	1.302e-16	2.002e-14
K562	PTBP1	Alu	AluSp	antisense	12476	26	190	872919	216	9.5745	1.405e-16	2.153e-14
K562	HNRNPM	L1	L1MCc	antisense	10195	17	68	875200	85	21.4615	1.651e-16	2.522e-14
K562	PTBP1	L1	L1M1	antisense	12476	26	192	872919	218	9.4748	1.764e-16	2.684e-14
K562	QKI	L1	L1MA2	antisense	5242	17	142	880153	159	20.1012	1.829e-16	2.774e-14
K562	QKI	L1	L1M5	antisense	5242	33	848	880153	881	6.5340	2.095e-16	3.162e-14
K562	KHSRP	L1	L1MC3	antisense	41865	44	171	843530	215	5.1845	2.100e-16	3.162e-14
K562	HNRNPC	Alu	AluSx4	antisense	1465	9	41	883930	50	132.4460	2.139e-16	3.208e-14
K562	KHSRP	L1	L1MC5a	sense	41865	38	125	843530	163	6.1252	2.444e-16	3.654e-14
K562	PTBP1	Alu	AluSc8	antisense	12476	22	125	872919	147	12.3143	2.795e-16	4.163e-14
K562	KHSRP	L1	L1M4a2	antisense	41865	21	25	843530	46	16.9250	3.220e-16	4.781e-14
K562	HNRNPL	L1	L1ME3G	antisense	9862	26	254	875533	280	9.0876	3.307e-16	4.893e-14
K562	KHDRBS1	L1	L1ME3B	sense	3897	12	57	881498	69	47.6209	3.636e-16	5.360e-14
K562	KHDRBS1	L1	L1MB8	sense	3897	15	134	881498	149	25.3208	3.695e-16	5.428e-14
K562	SAFB2	L1	L1PA15-16	sense	8005	8	1	877390	9	876.8420	3.972e-16	5.815e-14
K562	SAFB2	L1	L1PA17	sense	8005	12	25	877390	37	52.6105	4.447e-16	6.488e-14
K562	SAFB2	L1	L1M5	sense	8005	25	292	877390	317	9.3840	5.029e-16	7.312e-14
K562	ILF3	Alu	AluSx3	antisense	7110	21	210	878285	231	12.3528	6.435e-16	9.292e-14
K562	XRCC6	Alu	AluSz	antisense	5550	32	778	879845	810	6.5205	6.428e-16	9.292e-14
K562	UPF1	Alu	AluSz	sense	16758	37	338	868637	375	5.6742	6.602e-16	9.502e-14
K562	HNRNPM	L1	L1MCa	antisense	10195	25	230	875200	255	9.3311	7.179e-16	1.030e-13
K562	EXOSC5	L1	L1PA15-16	antisense	16207	13	15	869188	28	46.4797	7.467e-16	1.067e-13
K562	HNRNPL	L1	L1MA9	antisense	9862	23	192	875533	215	10.6349	7.560e-16	1.077e-13
K562	TARDBP	Alu	AluJo	antisense	9311	47	1022	876084	1069	4.3271	8.312e-16	1.180e-13
K562	MATR3	L1	L1PA15	antisense	8519	23	230	876876	253	10.2932	1.237e-15	1.751e-13
K562	XRCC6	Alu	AluSx	antisense	5550	33	855	879845	888	6.1187	1.302e-15	1.836e-13
K562	SAFB2	L1	L1M2c	sense	8005	8	2	877390	10	438.4210	1.970e-15	2.770e-13
K562	KHDRBS1	L1	L1ME3	sense	3897	12	67	881498	79	40.5133	2.028e-15	2.842e-13
K562	EXOSC5	L1	L1MD1	antisense	16207	25	152	869188	177	8.8208	4.210e-15	5.880e-13
K562	PTBP1	Alu	AluSc	antisense	12476	25	202	872919	227	8.6594	4.320e-15	6.013e-13
K562	EXOSC5	L1	L1MB4	antisense	16207	29	219	869188	248	7.1017	4.626e-15	6.418e-13
K562	KHSRP	L1	L1MC5	sense	41865	30	82	843530	112	7.3715	5.871e-15	8.119e-13
K562	SAFB2	L1	L1M4a2	sense	8005	11	23	877390	34	52.4199	7.746e-15	1.068e-12
K562	PTBP1	L1	L1MCa	antisense	12476	26	229	872919	255	7.9439	7.939e-15	1.091e-12
K562	KHSRP	L1	L1M1	antisense	41865	42	176	843530	218	4.8082	9.114e-15	1.248e-12
K562	KHDRBS1	L1	L1ME4b	sense	3897	13	104	881498	117	28.2749	9.238e-15	1.261e-12
K562	MATR3	L1	L1M2	antisense	8519	24	284	876876	308	8.6985	9.510e-15	1.294e-12
K562	AGGF1	Alu	AluJo	sense	8124	31	549	877271	580	6.0975	1.253e-14	1.700e-12
K562	MATR3	L1	L1MCa	antisense	8519	22	233	876876	255	9.7189	1.502e-14	2.031e-12
K562	ILF3	Alu	AluSc	sense	7110	15	93	878285	108	19.9239	1.595e-14	2.150e-12
K562	QKI	L1	L1MC5	antisense	5242	21	345	880153	366	10.2202	1.694e-14	2.276e-12
