cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
K562	AARS	L1	L1MC4a	antisense	1457	0	243	883938	243	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME1	sense	1457	1	271	883938	272	2.2387	3.611e-01	1.000e+00
K562	AARS	L1	L1ME1	antisense	1457	0	746	883938	746	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3B	sense	1457	0	69	883938	69	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3B	antisense	1457	0	239	883938	239	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA5	sense	1457	0	56	883938	56	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA5	antisense	1457	0	197	883938	197	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3D	sense	1457	0	25	883938	25	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1ME3D	antisense	1457	0	147	883938	147	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P4	sense	1457	0	23	883938	23	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1P4	antisense	1457	0	62	883938	62	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA2	sense	1457	0	29	883938	29	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1MA2	antisense	1457	0	159	883938	159	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA15-16	sense	1457	0	9	883938	9	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA15-16	antisense	1457	0	28	883938	28	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA8A	sense	1457	0	36	883938	36	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA8A	antisense	1457	0	48	883938	48	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA8	sense	1457	0	36	883938	36	0.0000	1.000e+00	1.000e+00
K562	AARS	L1	L1PA8	antisense	1457	0	67	883938	67	0.0000	1.000e+00	1.000e+00
