cell_line	rbp	element	subfamily	orientation	n_peaks_rbp	loci_in_cat	bg_loci_in_cat	n_peaks_bg	pooled_loci_in_cat	fold_enrichment	p_fisher_greater	q_BH
HepG2	AGGF1	L1	L1ME2	antisense	5235	0	203	932317	203	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSx4	sense	5235	1	43	932317	44	4.1417	2.184e-01	1.000e+00
HepG2	AGGF1	Alu	AluSx4	antisense	5235	0	128	932317	128	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PB1	sense	5235	0	17	932317	17	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1PB1	antisense	5235	0	279	932317	279	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYe5	sense	5235	0	5	932317	5	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYe5	antisense	5235	0	6	932317	6	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSq4	sense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluSq4	antisense	5235	0	11	932317	11	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYk11	sense	5235	0	8	932317	8	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYk11	antisense	5235	0	5	932317	5	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYh9	sense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYh9	antisense	5235	0	5	932317	5	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYa8	sense	5235	0	0	932317	0	nan	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYa8	antisense	5235	0	1	932317	1	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYh3a3	sense	5235	0	3	932317	3	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYh3a3	antisense	5235	0	3	932317	3	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M1	sense	5235	0	29	932317	29	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M1	antisense	5235	0	234	932317	234	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYk3	sense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	Alu	AluYk3	antisense	5235	0	9	932317	9	0.0000	1.000e+00	1.000e+00
HepG2	AGGF1	L1	L1M4a2	sense	5235	0	4	932317	4	0.0000	1.000e+00	1.000e+00
