subfamily	orientation	family	n_copies_with_reads	chr_mean	cyto_mean	chrRNA_neb_mean	log2_retention_rep1	log2_retention_rep2	log2_retention	reps_agree
L1MC3	sense	L1	760	5455.2891	1256.7324	2398.8143	2.9004	1.5464	2.2234	yes
L1M6	antisense	L1	143	168.1666	36.5572	165.8789	1.9926	2.4291	2.2108	yes
L1M3	sense	L1	320	1721.4647	390.1397	656.2614	2.5521	1.7882	2.1701	yes
L1PA5	sense	L1	1519	4083.7292	943.0935	1915.1106	2.4259	1.8696	2.1478	yes
L1PBa1	antisense	L1	44	131.2927	37.4794	159.5899	1.1112	3.1594	2.1353	yes
L1PB1	antisense	L1	823	1660.8357	383.0792	4335.8202	2.0394	2.1959	2.1176	yes
L1ME3B	sense	L1	345	2899.7605	676.9124	880.0526	2.2954	1.8946	2.0950	yes
AluYa8	antisense	Alu	15	3.2445	0.0000	2.3994	1.8930	2.2555	2.0742	yes
L1MEd	sense	L1	937	4660.8428	1159.0500	1523.7846	2.5358	1.5836	2.0597	yes
L1ME3F	sense	L1	182	227.4873	67.2785	141.5521	1.2337	2.8475	2.0406	yes
L1PB1	sense	L1	833	3219.9619	785.5104	2220.2806	2.0684	1.9960	2.0322	yes
L1MB7	sense	L1	924	5674.6225	1430.9305	1879.6348	2.2191	1.7527	1.9859	yes
L1MEc	sense	L1	940	4179.7681	1127.8749	1663.4959	2.1887	1.6262	1.9074	yes
L1PA2	antisense	L1	990	2547.5115	696.7329	4113.0070	1.6320	2.1359	1.8840	yes
L1PA6	antisense	L1	699	993.1435	269.5675	2468.7835	1.8804	1.8745	1.8775	yes
L1ME3F	antisense	L1	144	265.5019	72.1921	375.3784	1.8410	1.8905	1.8657	yes
L1MD1	sense	L1	269	996.7127	285.6992	900.7502	1.4904	2.2314	1.8609	yes
L1MB2	sense	L1	382	1016.0379	280.1658	1144.3452	1.9596	1.7449	1.8523	yes
L1PA2	sense	L1	935	4919.1748	1383.4726	1340.2474	1.7888	1.8684	1.8286	yes
AluYd8	antisense	Alu	17	2.6206	0.0000	11.5625	1.4902	2.1479	1.8191	yes
L1MB1	sense	L1	303	2107.0253	602.7246	758.0641	1.9459	1.6566	1.8012	yes
L1MC1	sense	L1	699	2647.6845	767.5343	1612.0841	2.0424	1.5391	1.7907	yes
L1PA15	antisense	L1	425	1378.2590	410.4140	2528.0438	2.2303	1.3506	1.7904	yes
L1HS	antisense	L1	476	1205.7211	352.2066	1703.7750	1.5503	2.0298	1.7901	yes
L1MB8	sense	L1	709	3354.2397	991.1711	1870.5589	2.1044	1.4602	1.7823	yes
L1MDb	sense	L1	49	159.6500	46.2332	24.1869	2.1634	1.3948	1.7791	yes
L1PA10	antisense	L1	432	1037.8772	309.0426	2302.8254	1.8106	1.6761	1.7433	yes
L1PA15-16	antisense	L1	88	398.6915	118.4253	783.7205	1.7518	1.7342	1.7430	yes
L1MC2	antisense	L1	252	654.8569	220.7189	478.9638	2.3513	1.0379	1.6946	yes
L1ME2z	sense	L1	212	706.5813	221.3386	448.2315	1.5154	1.8541	1.6848	yes
L1MEg2	antisense	L1	33	22.9609	27.0324	48.2282	4.7187	-1.3507	1.6840	NO
L1M4	sense	L1	1026	3516.5833	1133.7108	1746.6307	1.9552	1.3560	1.6556	yes
L1M	sense	L1	14	65.1470	22.1187	37.3629	1.1461	2.0967	1.6214	yes
L1MC2	sense	L1	296	835.2850	278.3213	585.2516	1.7912	1.3920	1.5916	yes
L1MA8	antisense	L1	466	963.3799	335.7725	1517.2560	1.2475	1.8690	1.5582	yes
L1PA16	antisense	L1	687	2429.9078	825.1367	3179.5327	1.6830	1.4280	1.5555	yes
L1PA3	antisense	L1	2307	3413.9254	1170.1167	5393.6942	1.7428	1.3661	1.5544	yes
L1MA10	sense	L1	170	545.5881	203.3625	215.1868	2.2180	0.8595	1.5387	yes
L1ME3C	antisense	L1	93	151.4450	63.4383	157.1241	0.7625	2.2551	1.5088	yes
L1M3	antisense	L1	265	723.1977	252.2112	479.0509	1.6118	1.4057	1.5087	yes
L1MCc	sense	L1	180	503.7393	192.7643	396.2108	2.1167	0.8977	1.5072	yes
L1MB8	antisense	L1	610	1900.7061	695.5082	1707.3259	1.1704	1.8415	1.5060	yes
L1MCa	antisense	L1	336	913.3127	342.0621	1200.8711	2.0502	0.9072	1.4787	yes
L1M5	sense	L1	2099	7682.4070	2779.6903	2966.2976	1.5988	1.3309	1.4649	yes
L1ME3A	sense	L1	627	2152.4704	793.6444	924.5409	1.7914	1.1133	1.4523	yes
L1MA10	antisense	L1	179	345.0530	139.7730	378.1154	2.2848	0.6192	1.4520	yes
L1M1	antisense	L1	584	2035.1126	767.0806	2404.5146	1.3239	1.5017	1.4128	yes
L1MC5a	antisense	L1	644	1298.1780	493.9753	1474.9868	1.5352	1.2543	1.3948	yes
L1PA4	antisense	L1	1906	2051.5538	797.1821	4478.6093	1.3610	1.3642	1.3626	yes
L1ME3G	sense	L1	531	1115.9845	442.8285	584.4332	1.3943	1.2627	1.3285	yes
L1MEf	antisense	L1	415	1113.9727	442.8285	992.6769	1.3845	1.2684	1.3264	yes
L1ME5	sense	L1	161	637.6650	255.1291	383.2588	1.4324	1.1959	1.3141	yes
L1MEh	sense	L1	159	284.2361	114.5851	191.8692	1.4339	1.1768	1.3053	yes
L1M8	antisense	L1	80	288.0256	117.5030	203.9526	1.6220	0.9751	1.2985	yes
L1MC3	antisense	L1	669	2081.6601	863.0698	2103.0101	1.6893	0.8920	1.2906	yes
L1M4a1	sense	L1	100	266.4835	107.8270	91.5040	1.4516	1.1258	1.2887	yes
L1M3c	antisense	L1	66	80.1383	32.7170	160.9665	0.8146	1.7298	1.2722	yes
L1ME3	sense	L1	362	953.2598	407.9646	569.0338	0.9129	1.5923	1.2526	yes
L1MA9	antisense	L1	611	1346.8742	565.0940	1309.0433	1.3028	1.1963	1.2496	yes
L1P3	antisense	L1	231	505.5788	228.3992	841.7961	1.8292	0.6550	1.2421	yes
L1ME3G	antisense	L1	450	464.3821	197.3754	562.3360	1.3586	1.0970	1.2278	yes
L1MEj	sense	L1	122	655.3644	291.6863	347.8521	1.1410	1.1902	1.1656	yes
L1MA6	antisense	L1	246	766.0643	340.8374	1141.1788	1.3016	1.0258	1.1637	yes
L1MA5	antisense	L1	188	188.5858	92.3151	284.8535	0.5847	1.7236	1.1542	yes
AluSq4	antisense	Alu	75	34.2237	17.3563	74.7231	1.6496	0.6244	1.1370	yes
L1MEi	antisense	L1	173	324.0974	152.2157	451.6916	1.5633	0.6895	1.1264	yes
L1ME2	antisense	L1	442	658.4511	307.1982	624.5966	1.3196	0.8860	1.1028	yes
L1M4a2	antisense	L1	79	54.4858	27.9546	80.4383	1.7327	0.4459	1.0893	yes
L1P	sense	L1	3	1.1387	0.0000	0.2241	0.9295	1.2466	1.0880	yes
L1MC5a	sense	L1	622	1517.7622	730.5234	1096.8424	0.9130	1.2074	1.0602	yes
L1PA8	antisense	L1	435	668.6127	328.0922	1926.8662	0.8379	1.2742	1.0561	yes
L1PA17	antisense	L1	203	547.7643	266.6496	1228.4684	1.0534	1.0167	1.0351	yes
L1MC5	antisense	L1	525	994.6450	486.2950	1042.8877	1.2337	0.8338	1.0338	yes
L1MB1	antisense	L1	254	508.4939	261.1162	684.8728	1.5744	0.4627	1.0186	yes
L1PREC2	antisense	L1	426	617.3735	307.1982	1256.7129	1.1947	0.8279	1.0113	yes
L1MC4a	antisense	L1	363	903.1525	467.5627	1050.7061	0.6961	1.2888	0.9924	yes
L1MEj	antisense	L1	95	137.1026	68.3519	117.9284	1.0865	0.8923	0.9894	yes
SVA_B	antisense	SVA	122	433.9901	222.4121	517.6488	1.0239	0.9001	0.9620	yes
L1ME3D	antisense	L1	144	195.8388	119.1963	177.0217	0.1739	1.7453	0.9596	yes
L1MCc	antisense	L1	144	786.7011	406.2714	278.6343	1.0386	0.8587	0.9487	yes
AluYh9	sense	Alu	1	1.3570	0.0000	0.0000	1.8930	0.0000	0.9465	NO
L1MD3	sense	L1	201	381.1643	204.9045	216.9532	0.6290	1.2619	0.9455	yes
L1MB2	antisense	L1	350	1095.0539	579.6836	1176.2219	1.0742	0.7647	0.9194	yes
L1PB4	antisense	L1	324	538.4738	286.7726	967.3916	0.8326	1.0013	0.9169	yes
AluYk12	antisense	Alu	12	4.6561	3.8402	9.3407	-0.3353	2.1479	0.9063	NO
L1ME3A	antisense	L1	551	841.2178	451.5823	1054.9541	1.0557	0.7336	0.8947	yes
L1MD1	antisense	L1	272	1044.9802	563.0983	865.9539	0.8986	0.8819	0.8903	yes
L1MEb	antisense	L1	83	47.0999	29.7991	97.3349	-0.0404	1.7963	0.8779	NO
L1M3f	antisense	L1	50	98.3089	54.8357	118.8519	0.6732	1.0629	0.8680	yes
L1MC4	antisense	L1	985	2205.4585	1218.9654	2359.1240	1.0213	0.6829	0.8521	yes
L1PBa1	sense	L1	41	187.4162	118.5765	147.9717	1.6196	0.0658	0.8427	yes
L1P1	antisense	L1	490	378.1164	232.7079	492.9183	0.1931	1.4789	0.8360	yes
L1MC4a	sense	L1	357	559.0982	335.7725	569.0937	0.4416	1.1077	0.7746	yes
L1P1	sense	L1	529	2414.1768	1443.6757	836.5445	0.8903	0.6160	0.7531	yes
L1MD2	sense	L1	475	1201.8973	728.2104	853.8837	1.0460	0.4495	0.7478	yes
L1ME3B	antisense	L1	315	586.4337	353.2801	807.1030	0.7104	0.7501	0.7303	yes
L1PA13	antisense	L1	479	1126.0194	711.4738	2417.6084	0.6759	0.6473	0.6616	yes
L1MD3	antisense	L1	199	413.7418	296.9024	601.9527	1.4367	-0.1520	0.6424	NO
L1ME3Cz	antisense	L1	331	609.2821	389.9885	654.0749	0.9076	0.3666	0.6371	yes
L1MA4	antisense	L1	422	1086.2092	710.8541	870.8755	0.9511	0.3153	0.6332	yes
L1MD	antisense	L1	325	459.5321	301.2111	367.9903	0.4492	0.7967	0.6229	yes
Alu	sense	Alu	112	99.5733	65.4340	85.9223	0.3759	0.8634	0.6197	yes
L1M2	antisense	L1	473	2386.3101	1647.1894	3338.3220	0.9312	0.1909	0.5611	yes
L1ME3C	sense	L1	109	135.8620	95.3843	101.0303	1.1508	-0.0554	0.5477	NO
L1MB5	antisense	L1	402	937.7733	655.8671	1068.4991	0.7892	0.2636	0.5264	yes
L1MEd	antisense	L1	715	924.9754	668.4611	975.3730	0.7958	0.1816	0.4887	yes
AluYj4	antisense	Alu	101	88.5208	64.5118	136.0824	0.7252	0.1447	0.4349	yes
L1MDa	antisense	L1	322	418.6491	325.6280	679.7540	0.7729	0.0390	0.4060	yes
L1MEh	antisense	L1	125	146.0802	112.5894	339.3564	0.1830	0.5987	0.3909	yes
L1ME5	antisense	L1	126	257.7269	230.3949	477.6884	1.0605	-0.3875	0.3365	NO
L1ME1	antisense	L1	1166	1908.2470	1598.8093	2497.2036	0.5766	-0.0394	0.2686	NO
L1ME2z	antisense	L1	230	372.4624	313.9562	294.4291	0.4048	0.1070	0.2559	yes
L1PB3	antisense	L1	175	309.2554	277.5503	687.4213	0.8868	-0.3778	0.2545	NO
L1ME4c	antisense	L1	204	253.3207	224.2566	258.2222	0.0123	0.3505	0.1814	yes
L1P4e	sense	L1	15	11.6133	10.5983	32.4920	0.2744	0.0209	0.1476	yes
L1M5	antisense	L1	1732	2497.3494	2272.9698	2204.1057	0.1924	0.0760	0.1342	yes
AluYk4	antisense	Alu	39	27.4927	25.0367	31.3395	0.0017	0.2317	0.1167	yes
L1MB7	antisense	L1	784	1142.5002	1065.6762	1975.3186	0.1922	-0.0026	0.0948	NO
L1ME4a	sense	L1	688	893.7247	837.5794	484.6390	0.1282	0.0580	0.0931	yes
L1MB4	sense	L1	311	654.5531	624.8433	337.1981	0.1108	0.0231	0.0670	yes
L1M7	antisense	L1	120	162.6302	156.9781	221.4887	0.2505	-0.1288	0.0608	NO
L1ME1	sense	L1	1320	5662.3870	5511.0153	3189.4953	0.0660	0.0092	0.0376	yes
Alu	antisense	Alu	108	87.8666	88.6262	225.1298	0.3251	-0.2799	0.0226	NO
L1MA8	sense	L1	510	2851.7620	2812.7098	1328.0806	0.1987	-0.1553	0.0217	NO
AluYh7	antisense	Alu	4	0.0000	0.0000	1.4502	0.0000	0.0000	0.0000	yes
AluYh9	antisense	Alu	1	0.0000	0.0000	0.4482	0.0000	0.0000	0.0000	yes
AluYi6_4d	antisense	Alu	1	0.0000	0.0000	0.5538	0.0000	0.0000	0.0000	yes
L1P4c	antisense	L1	1	0.0000	0.0000	20.0732	0.0000	0.0000	0.0000	yes
L1M2b	antisense	L1	14	4.2662	13.5162	3.3358	2.3423	-2.3597	-0.0087	NO
L1ME4c	sense	L1	208	359.0937	380.0100	192.9119	-0.3879	0.3198	-0.0341	NO
AluYc	antisense	Alu	161	159.6119	169.4208	229.4898	-0.1207	-0.0481	-0.0844	yes
