subfamily	orientation	family	baseMean	log2FoldChange	lfcSE	pvalue	padj
L1PB1	antisense	L1	447.187872219887	1.56683136207129	0.223724210029793	2.49814441696684e-12	1.31933252021061e-11
L1MA1	sense	L1	509.663246966041	1.56269448984968	0.224798412392479	3.61327514844392e-12	8.57550635230689e-12
L1M8	sense	L1	134.433271222579	1.55401744902697	0.398403025354544	9.59480055809999e-05	0.000159614439190822
L1MCa	sense	L1	814.155185283352	1.51032665214086	0.189676772519473	1.68415537704961e-15	4.47432324051986e-15
L1P4	sense	L1	442.963542655102	1.49963487719575	0.251147655975661	2.35618348015142e-09	5.11464218862138e-09
L1MA5A	sense	L1	371.882546110692	1.38379025265404	0.280474244360453	8.06650147531617e-07	1.51140764484871e-06
L1P4b	antisense	L1	4.89611978400207	1.37932024027568	1.67628112790131	0.410595906816048	0.48524970805533
L1PREC2	sense	L1	876.374218350167	1.37808670337962	0.155436026395206	7.58603582147253e-19	2.17792641326147e-18
L1PA6	antisense	L1	278.958952949483	1.35912604096024	0.259383549303752	1.60723455679333e-07	5.43245280196147e-07
L1PA15-16	sense	L1	111.637688961829	1.3530719618685	0.967526912433409	0.161967446764639	0.19349131224232
L1ME3F	antisense	L1	74.6016646403851	1.32993230156927	0.458611628665452	0.00373270200077893	0.00742148986037224
L1PA2	antisense	L1	719.456368952302	1.32463282839698	0.248389690747946	9.66663082449041e-08	3.33400124354873e-07
L1PBb	sense	L1	1.7985386401935	1.32095298009812	3.08288671869441	0.668302239570917	0.712322147566606
L1MA3	sense	L1	756.412271036141	1.32066649119511	0.163073786736015	5.56033185286525e-16	1.49960465122729e-15
L1ME3Cz	sense	L1	189.79721681067	1.32066194259401	0.419094568434301	0.00162586310297333	0.00245257315533266
L1HS	sense	L1	984.38855207221	1.31693395694756	0.304001988326723	1.47766807930952e-05	2.5049992201628e-05
L1PA15	antisense	L1	395.254319650983	1.29720692816931	0.242919110917103	9.29067514032014e-08	3.28772609057846e-07
L1M4c	sense	L1	91.9745364134131	1.28016079219985	0.471805935159584	0.00666126132893175	0.0093362560358256
L1M2a1	antisense	L1	1.30290321965103	1.27251827411995	2.66486088228187	0.632993510680172	NA
L1M6B	antisense	L1	1.27899016635257	1.24644738138259	2.71453841847031	0.646108712593793	NA
L1PA15-16	antisense	L1	114.940603791541	1.2377405226499	0.378891216447544	0.00108792096981551	0.00235716210126694
L1M3de	antisense	L1	4.54308808330613	1.23591835293532	1.70254167812616	0.467884466850008	0.534273479038185
L1MC	sense	L1	816.553840973015	1.23181092251136	0.176387163903348	2.87785711171786e-12	6.92241305251052e-12
L1PA10	antisense	L1	299.053337309002	1.22384728783054	0.239240074763375	3.12809195988619e-07	1.01662988696301e-06
L1MEi	sense	L1	302.588623019185	1.21391825592914	0.278571927531501	1.31467913296505e-05	2.25012390065173e-05
L1HS	antisense	L1	346.938336995482	1.21384100728105	0.26550810836455	4.83630283907987e-06	1.38531386407542e-05
L1P4b	sense	L1	1.65476581671873	1.20094046202248	3.10921999887641	0.699310517519119	0.740936143561924
L1PA4	sense	L1	1269.0457826332	1.19856016197022	0.234426917253663	3.17545835275151e-07	6.07775899773944e-07
