subfamily	orientation	family	K562_chrRNA_rep1	K562_chrRNA_rep2	K562_chr_Takara_rep1	K562_chr_Takara_rep2	K562_cyto_Takara_rep1	K562_cyto_Takara_rep2
L1M6	sense	L1	1478	1251	1665	2027	7	9
L1M6B	antisense	L1	45	107	11	22	0	0
L1M6B	sense	L1	52	18	12	35	0	0
L1M7	antisense	L1	982	805	364	468	18	13
L1M7	sense	L1	1833	1518	5052	6472	34	21
L1M8	antisense	L1	933	718	684	777	13	10
L1M8	sense	L1	1817	1486	1534	1871	11	7
L1MA1	antisense	L1	18383	15290	6412	7320	55	35
L1MA1	sense	L1	5250	4137	5671	7299	42	26
L1MA10	antisense	L1	1547	1479	836	909	10	15
L1MA10	sense	L1	948	787	1272	1503	16	21
L1MA2	antisense	L1	7597	6783	2585	2975	21	24
L1MA2	sense	L1	10072	8317	10096	12372	51	44
L1MA3	antisense	L1	16653	14336	6381	7579	78	34
L1MA3	sense	L1	9619	7406	8326	10007	70	44
L1MA4	antisense	L1	3571	3400	2497	3039	76	62
L1MA4	sense	L1	7469	6832	18725	21376	60	44
L1MA4A	antisense	L1	6447	5658	4708	5397	31	48
L1MA4A	sense	L1	18177	13260	22983	25988	39	42
L1MA5	antisense	L1	1225	1066	434	527	17	4
L1MA5	sense	L1	5213	4576	5119	6240	26	24
L1MA5A	antisense	L1	1384	1175	480	589	36	39
L1MA5A	sense	L1	4054	3273	4271	4749	28	25
L1MA6	antisense	L1	4959	4229	1803	2088	43	26
L1MA6	sense	L1	2164	1687	2691	3156	11	2
L1MA7	antisense	L1	5775	5638	2963	3574	29	12
L1MA7	sense	L1	2673	2255	2310	2884	10	15
L1MA8	antisense	L1	6342	5826	2180	2741	54	19
L1MA8	sense	L1	5919	4802	6626	7886	340	223
L1MA9	antisense	L1	5434	5057	3145	3704	75	41
L1MA9	sense	L1	6385	5508	7185	8678	67	51
L1MB1	antisense	L1	2729	2738	1218	1358	24	25
L1MB1	sense	L1	3271	2828	4978	5718	76	46
L1MB2	antisense	L1	4754	4648	2505	3080	70	46
L1MB2	sense	L1	5290	3984	2384	2779	36	21
L1MB3	antisense	L1	6153	4904	1563	2061	105	73
L1MB3	sense	L1	5001	3659	2977	3762	223	103
L1MB4	antisense	L1	2641	2408	685	841	39	37
L1MB4	sense	L1	1555	1177	1467	1881	80	47
L1MB5	antisense	L1	4492	4082	2173	2601	74	55
L1MB5	sense	L1	3600	2750	1701	2174	100	90
L1MB7	antisense	L1	8301	7549	2755	3027	142	77
L1MB7	sense	L1	8422	6760	13606	15137	172	114
L1MB8	antisense	L1	7397	6345	4436	5230	116	37
L1MB8	sense	L1	8341	6760	7674	9433	105	87
L1MC	antisense	L1	1862	1885	1446	1580	182	89
L1MC	sense	L1	3247	2837	9211	10130	77	51
L1MC1	antisense	L1	9818	8847	5206	5470	57	25
L1MC1	sense	L1	7129	5874	6232	7216	89	63
L1MC2	antisense	L1	1933	1895	1482	1863	17	23
L1MC2	sense	L1	2695	2046	1886	2382	32	23
L1MC3	antisense	L1	8997	7908	4988	5557	91	76
L1MC3	sense	L1	10426	8888	12945	14730	102	128
L1MC4	antisense	L1	10225	8764	5241	5945	152	94
L1MC4	sense	L1	11352	9120	14482	18260	1031	526
L1MC4a	antisense	L1	4437	3998	2092	2506	76	26
L1MC4a	sense	L1	2641	1973	1246	1616	54	19
L1MC5	antisense	L1	4408	3965	2319	2740	58	39
L1MC5	sense	L1	3553	2880	2538	3162	416	197
L1MC5a	antisense	L1	6548	5354	2957	3668	60	39
L1MC5a	sense	L1	4698	4120	3327	4460	104	49
L1MCa	antisense	L1	5016	4614	2187	2440	31	33
L1MCa	sense	L1	4970	3967	9115	11269	62	48
L1MCb	antisense	L1	589	524	336	397	52	31
L1MCb	sense	L1	921	783	1788	2037	7	8
L1MCc	antisense	L1	1277	979	1851	2145	53	30
L1MCc	sense	L1	1816	1392	1112	1470	15	20
L1MD	antisense	L1	1490	1452	1044	1302	45	19
L1MD	sense	L1	2921	2381	3899	4680	25	42
L1MD1	antisense	L1	3469	3447	2471	2833	78	39
L1MD1	sense	L1	3913	3339	2294	2785	48	15
L1MD2	antisense	L1	3077	2643	1463	1800	118	83
L1MD2	sense	L1	3795	3096	2702	3443	77	64
L1MD3	antisense	L1	2676	2182	969	1134	21	32
L1MD3	sense	L1	965	786	894	1043	34	11
L1MDa	antisense	L1	2991	2489	930	1214	32	30
L1MDa	sense	L1	4780	3542	3927	4838	36	25
L1MDb	antisense	L1	609	423	97	116	21	19
L1MDb	sense	L1	96	97	388	419	5	4
L1ME1	antisense	L1	10428	9597	4483	5212	177	136
L1ME1	sense	L1	13867	11814	13278	15498	747	391
L1ME2	antisense	L1	2778	2263	1529	1822	36	25
L1ME2	sense	L1	3857	3474	5883	6629	61	38
L1ME2z	antisense	L1	1156	1191	810	1103	36	26
L1ME2z	sense	L1	1980	1635	1606	2001	33	14
L1ME3	antisense	L1	2618	2436	1325	1726	128	74
L1ME3	sense	L1	2659	1958	2048	2856	64	24
L1ME3A	antisense	L1	4381	4074	1979	2294	56	35
L1ME3A	sense	L1	4218	3264	5119	5797	87	68
L1ME3B	antisense	L1	3485	3009	1335	1658	48	25
L1ME3B	sense	L1	3774	3302	6927	7769	83	53
L1ME3C	antisense	L1	672	591	376	387	13	2
L1ME3C	sense	L1	463	355	342	341	9	9
L1ME3Cz	antisense	L1	2768	2484	1499	1575	47	31
L1ME3Cz	sense	L1	1534	1250	1980	2718	23	7
L1ME3D	antisense	L1	684	725	460	535	24	4
L1ME3D	sense	L1	2466	2102	3056	3476	8	7
L1ME3E	antisense	L1	1856	1878	2120	2383	26	10
L1ME3E	sense	L1	970	784	654	859	11	2
L1ME3F	antisense	L1	1572	1439	614	738	10	5
L1ME3F	sense	L1	643	502	562	585	14	2
L1ME3G	antisense	L1	2446	2082	1092	1267	25	15
L1ME3G	sense	L1	2532	2172	2637	3028	59	32
L1ME4a	antisense	L1	2142	1843	1788	2166	119	77
L1ME4a	sense	L1	1975	1902	2023	2542	109	62
L1ME4b	antisense	L1	5260	4757	2008	2587	125	81
L1ME4b	sense	L1	2892	2642	3131	3840	219	115
L1ME4c	antisense	L1	1080	991	548	754	32	15
L1ME4c	sense	L1	853	703	804	1033	62	21
L1ME5	antisense	L1	2018	1817	569	752	16	25
L1ME5	sense	L1	1714	1381	1516	1718	33	19
L1MEa	antisense	L1	31	22	18	24	0	0
L1MEa	sense	L1	76	56	156	162	0	0
L1MEb	antisense	L1	367	406	99	144	6	1
L1MEb	sense	L1	601	543	898	990	13	3
L1MEc	antisense	L1	6381	5619	2749	3283	868	346
L1MEc	sense	L1	7552	5903	9529	11799	123	97
L1MEd	antisense	L1	3866	3916	2124	2591	72	58
L1MEd	sense	L1	6682	5598	10842	12872	110	109
L1MEf	antisense	L1	4144	3816	2619	3040	59	32
L1MEf	sense	L1	4462	3897	7350	9117	32	36
L1MEg	antisense	L1	2940	2680	1528	1781	121	64
L1MEg	sense	L1	6442	5875	15370	18090	60	44
L1MEg1	antisense	L1	215	135	147	142	4	0
L1MEg1	sense	L1	1720	1463	478	595	1	0
L1MEg2	antisense	L1	208	180	56	60	0	4
L1MEg2	sense	L1	305	244	191	270	0	1
L1MEh	antisense	L1	1489	1246	328	419	17	7
L1MEh	sense	L1	882	672	646	805	14	9
L1MEi	antisense	L1	1828	1783	757	891	15	14
L1MEi	sense	L1	2019	1644	3269	3830	25	22
L1MEj	antisense	L1	468	473	327	368	9	5
L1MEj	sense	L1	1571	1241	1463	1891	39	21
