subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
L1MA6	L1	sense	403	1048	4369	0.0169375	0.0251999	-3.85697	0.999943	1	0.0425386	0.0815007	-0.314121	0.623285	0.999762
L1P3	L1	antisense	220	403	2422	0.0161024	0.0288321	-3.91753	0.999955	1	0.0284803	0.0201866	-0.613175	0.73012	0.999762
L1M3d	L1	antisense	24	43	328	0	0.0348669	-3.92028	0.999956	1	0.0331755	0.0720994	-0.460135	0.67729	0.999762
L1M3a	L1	sense	58	148	997	0.00200602	0.0184191	-3.99411	0.999968	1	0.0213785	0.0327028	-0.592381	0.723202	0.999762
AluSq	Alu	sense	2982	5465	16846	0.0242788	0.029161	-4.04405	0.999974	1	0.041209	0.00960812	-1.76208	0.960972	0.999762
L1M3f	L1	sense	49	133	1206	0.00414594	0.0200105	-4.06154	0.999976	1	0.026267	0.0259921	-0.851068	0.802634	0.999762
L1MA4A	L1	antisense	252	606	3415	0.0146413	0.0248278	-4.09627	0.999979	1	0.0384241	0.0207053	-1.14864	0.874647	0.999762
L1PA15	L1	antisense	400	838	5991	0.0283759	0.0374731	-4.10778	0.99998	1	0.0408845	0.0217842	-0.574203	0.717085	0.999762
L1P2	L1	sense	130	218	2987	0.0210914	0.0339973	-4.11347	0.999981	1	0.0406098	0.0202858	-0.962173	0.832019	0.999762
L1MA5A	L1	antisense	165	367	1353	0.00960828	0.0267317	-4.11661	0.999981	1	0.0292722	0.0368522	-0.533589	0.703187	0.999762
L1P4	L1	sense	228	555	1868	0.00910064	0.022356	-4.12584	0.999982	1	0.0278421	0.0254589	-0.736147	0.769179	0.999762
AluSc	Alu	sense	3995	8439	21501	0.0286963	0.0333146	-4.14098	0.999983	1	0.0433971	0.0147993	-0.993339	0.839728	0.999762
L1M3b	L1	sense	23	54	641	0.0343214	0.0739072	-4.18155	0.999986	1	0.0558996	0.0228647	-0.943739	0.827348	0.999762
L1MCa	L1	antisense	182	594	3076	0.0282835	0.0410253	-4.19089	0.999986	1	0.0513096	0.0307085	-0.749827	0.773321	0.999762
L1MEb	L1	sense	164	379	1643	0.0133901	0.0299288	-4.24756	0.999989	1	0.0375112	0.0200162	-1.20508	0.885913	0.999762
L1PA14	L1	antisense	170	324	2398	0.0116764	0.0244655	-4.29597	0.999991	1	0.0296115	0.0384624	-0.466303	0.679501	0.999762
L1ME3E	L1	sense	387	1108	2961	0.0168862	0.0293728	-4.32752	0.999992	1	0.0326448	0.02343	-0.672583	0.749394	0.999762
L1PA6	L1	antisense	308	611	4955	0.0167508	0.0257006	-4.38184	0.999994	1	0.0347552	0.0502073	-0.358601	0.640053	0.999762
L1MEd	L1	antisense	868	2967	10490	0.0256435	0.0325846	-4.40303	0.999995	1	0.0368134	0.0133566	-0.836281	0.798502	0.999762
AluSg	Alu	sense	4379	9152	28440	0.0291842	0.033541	-4.43667	0.999995	1	0.0459366	0.0265189	-0.631714	0.736213	0.999762
L1PA7	L1	antisense	685	1467	12808	0.0465334	0.0542906	-4.44264	0.999996	1	0.0616739	0.0334314	-0.452881	0.674683	0.999762
L1PB	L1	sense	129	241	873	0.0114548	0.0377049	-4.46754	0.999996	1	0.0415082	0.0483486	-0.621599	0.732897	0.999762
L1PB2	L1	antisense	149	299	1432	0.00837989	0.0258131	-4.50209	0.999997	1	0.0332039	0.051301	-0.483889	0.685768	0.999762
L1MEi	L1	antisense	261	700	2566	0.0124708	0.0255118	-4.52889	0.999997	1	0.030355	0.0199403	-0.896889	0.815111	0.999762
L1MDb	L1	antisense	29	83	380	0.00263158	0.0444363	-4.52977	0.999997	1	0.0122481	0.0422493	-0.227614	0.590027	0.999762
L1MEj	L1	sense	195	465	1211	0.017341	0.0404043	-4.53113	0.999997	1	0.0584018	0.0295151	-1.39118	0.917914	0.999762
SVA_D	SVA	sense	332	437	2767	0.0216841	0.0364394	-4.53984	0.999997	1	0.0636916	0.032673	-1.28569	0.900725	0.999762
L1PBa1	L1	sense	43	76	1776	0.0140766	0.0344194	-4.5401	0.999997	1	0.0285131	0.0187164	-0.771327	0.779743	0.999762
L1PA17	L1	antisense	242	450	1727	0.0121598	0.0286227	-4.55822	0.999997	1	0.0476919	0.0254179	-1.39792	0.918931	0.999762
L1M3	L1	sense	507	1245	3279	0.0146386	0.0263039	-4.56772	0.999998	1	0.0335133	0.0150934	-1.25053	0.894447	0.999762
L1M4	L1	antisense	826	2388	7851	0.0222902	0.0306143	-4.66602	0.999998	1	0.0443524	0.0679244	-0.324806	0.627336	0.999762
L1PB1	L1	antisense	521	1337	8792	0.0269563	0.0356345	-4.74481	0.999999	1	0.0411815	0.0182666	-0.778754	0.781938	0.999762
SVA_C	SVA	sense	98	126	1230	0.0211382	0.0462583	-4.78136	0.999999	1	0.0486075	0.055708	-0.493095	0.689027	0.999762
AluSx	Alu	antisense	7133	22765	67708	0.0327879	0.0359728	-4.81973	0.999999	1	0.0454526	0.0168331	-0.752371	0.774086	0.999762
L1MEh	L1	sense	181	469	1499	0.0106738	0.0314999	-4.84283	0.999999	1	0.0335874	0.0161266	-1.42086	0.922321	0.999762
L1ME3D	L1	sense	374	1087	2778	0.0115191	0.0248016	-4.88224	0.999999	1	0.0265812	0.00787827	-1.91186	0.972053	0.999762
L1PA8	L1	antisense	451	911	3938	0.0218385	0.0345889	-4.88452	0.999999	1	0.0382487	0.027253	-0.602144	0.726461	0.999762
L1ME2z	L1	antisense	339	913	2498	0.0140112	0.0293387	-4.95918	1	1	0.0350844	0.0212899	-0.989825	0.83887	0.999762
