subfamily	family	orientation	n_genes	n_copies	n_contacts	te_frac	ctl_exp_frac	z_gene	p_gene	q_gene	shift_mean	shift_sd	z_shift	p_shift	q_shift
AluJo	Alu	antisense	5927	16769	55310	0.0258543	0.0324653	-9.47733	1	1	0.0380366	0.00488317	-2.49475	0.993698	1
L1PA8	L1	sense	710	1400	7649	0.0104589	0.026719	-9.50256	1	1	0.0414729	0.0253512	-1.22337	0.889405	1
L1MC4a	L1	sense	1042	3039	9580	0.0085595	0.0218126	-9.50657	1	1	0.0276901	0.00862643	-2.21767	0.986711	1
AluSg	Alu	antisense	3456	6980	16552	0.0210851	0.0333063	-9.55844	1	1	0.0426448	0.00639795	-3.36979	0.999624	1
L1MEf	L1	sense	694	2841	10735	0.0099674	0.0230116	-9.5824	1	1	0.027191	0.00880831	-1.95538	0.974731	1
L1MC3	L1	sense	827	2274	10203	0.00960502	0.0233178	-9.80136	1	1	0.0303075	0.0213276	-0.970689	0.834149	1
L1MC1	L1	sense	1064	2923	13131	0.0135557	0.0260371	-9.8687	1	1	0.0335343	0.01403	-1.42399	0.922775	1
L1M5	L1	sense	3158	11886	21673	0.0170258	0.0270464	-9.96011	1	1	0.0371835	0.0351692	-0.573163	0.716733	1
L1MA4A	L1	sense	466	1305	10126	0.0153071	0.0311528	-10.0628	1	1	0.035051	0.0137791	-1.43289	0.924055	1
L1MCa	L1	sense	359	1389	6477	0.00957233	0.0283659	-10.0689	1	1	0.0359837	0.0202732	-1.30278	0.903674	1
L1MA7	L1	sense	551	1486	5021	0.0119498	0.0356829	-10.1302	1	1	0.0464801	0.0315939	-1.09294	0.86279	1
L1MEg	L1	sense	770	2951	9511	0.0129324	0.0283652	-10.1302	1	1	0.0424889	0.0171752	-1.72089	0.957364	1
L1MC4	L1	sense	2193	7521	21266	0.0173987	0.0280949	-10.1587	1	1	0.0333666	0.0283129	-0.563982	0.713617	1
L1MC5a	L1	sense	1790	5271	12912	0.0133984	0.0266458	-10.1674	1	1	0.0334174	0.00953164	-2.10027	0.982148	1
L1MB7	L1	sense	2160	7324	25204	0.0159895	0.0254596	-10.2425	1	1	0.0329886	0.00636168	-2.6721	0.996231	1
AluSx3	Alu	sense	3653	7934	19661	0.0207517	0.0328041	-10.3459	1	1	0.0403046	0.0300944	-0.649719	0.742063	1
AluJr4	Alu	antisense	2527	4504	16537	0.0203785	0.0334611	-10.376	1	1	0.0398863	0.00868995	-2.24487	0.987612	1
L1PA6	L1	sense	625	1177	11507	0.0163379	0.03156	-10.5027	1	1	0.0486866	0.0276193	-1.17123	0.879247	1
AluSq2	Alu	sense	5414	14437	38030	0.0226137	0.0314607	-10.6894	1	1	0.0393731	0.00780636	-2.14688	0.984099	1
L1PA10	L1	sense	634	1211	9298	0.00763605	0.0236657	-10.7575	1	1	0.026586	0.0131599	-1.43998	0.925063	1
L1PREC2	L1	sense	604	1284	9792	0.0114379	0.0283965	-10.845	1	1	0.036981	0.0150213	-1.70045	0.955477	1
L1MB8	L1	sense	1597	4928	16058	0.0153195	0.0280948	-10.9534	1	1	0.0301457	0.0341213	-0.434517	0.668043	1
AluSx	Alu	antisense	6854	22678	56388	0.0258388	0.0335852	-11.0265	1	1	0.0409496	0.0138023	-1.0948	0.863198	1
AluSz6	Alu	antisense	4364	9817	27940	0.0250179	0.0365822	-11.3354	1	1	0.0429442	0.0254744	-0.7037	0.75919	1
L1PA15	L1	sense	626	1410	12441	0.011012	0.0262955	-11.4385	1	1	0.0356727	0.0176555	-1.39677	0.918759	1
L1ME3A	L1	sense	1338	3770	11545	0.0132525	0.0291682	-11.4824	1	1	0.0363626	0.0391413	-0.590426	0.722548	1
L1M1	L1	antisense	259	701	4968	0.00885668	0.0381612	-11.8252	1	1	0.0609388	0.0525994	-0.990167	0.838954	1
L1MA3	L1	sense	629	1886	15254	0.0212403	0.0380114	-11.8954	1	1	0.0476936	0.0154672	-1.71028	0.956393	1
L1MEc	L1	sense	1144	4395	18067	0.0158853	0.0298917	-11.959	1	1	0.0376399	0.00805943	-2.69927	0.996525	1
AluJr4	Alu	sense	2799	5343	16998	0.016296	0.0307228	-12.0636	1	1	0.039292	0.038234	-0.601454	0.726231	1
AluSx1	Alu	antisense	6967	22681	59694	0.0259993	0.0343672	-12.1436	1	1	0.044408	0.0213942	-0.860454	0.805231	1
L1PA17	L1	sense	481	948	6790	0.00810015	0.0322321	-12.1754	1	1	0.0452703	0.0369862	-1.00497	0.842545	1
AluSz6	Alu	sense	5127	12832	37688	0.0225005	0.0328133	-12.2916	1	1	0.0425671	0.0313641	-0.639793	0.738846	1
L1MA4	L1	sense	781	2153	11078	0.0103809	0.0290252	-12.7496	1	1	0.04394	0.0706756	-0.474832	0.682547	1
L1PA7	L1	sense	1019	2333	23150	0.0170626	0.0305443	-12.7639	1	1	0.0371752	0.0130035	-1.5467	0.939032	1
L1PA14	L1	sense	296	505	5701	0.0168392	0.0512279	-12.9647	1	1	0.0572864	0.0292111	-1.38465	0.916921	1
L1M4	L1	sense	1417	4855	16544	0.012633	0.0280393	-13.0205	1	1	0.0351135	0.0131008	-1.71596	0.956916	1
